Randomizer Version: 4.6.1-HAL
Random Seed: 203381057898051
Settings String: 322AAgEAQGYAJsAngAEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBQAyAAIAFVBva2Vtb24gSGVhcnRHb2xkIChVKYdhIXnjwziK

--Randomized Evolutions--
BULBASAUR       -> IVYSAUR        
MAGMAR          -> MAGMORTAR      
MAGIKARP        -> GYARADOS       
EEVEE           -> LEAFEON, GLACEON, JOLTEON, VAPOREON, FLAREON, ESPEON and UMBREON
PORYGON         -> PORYGON2       
OMANYTE         -> OMASTAR        
KABUTO          -> KABUTOPS       
DRATINI         -> DRAGONAIR      
DRAGONAIR       -> DRAGONITE      
CHIKORITA       -> BAYLEEF        
BAYLEEF         -> MEGANIUM       
CYNDAQUIL       -> QUILAVA        
QUILAVA         -> TYPHLOSION     
TOTODILE        -> CROCONAW       
CROCONAW        -> FERALIGATR     
SENTRET         -> FURRET         
HOOTHOOT        -> NOCTOWL        
LEDYBA          -> LEDIAN         
SPINARAK        -> ARIADOS        
CHINCHOU        -> LANTURN        
PICHU           -> PIKACHU        
CLEFFA          -> CLEFAIRY       
IGGLYBUFF       -> JIGGLYPUFF     
TOGEPI          -> TOGETIC        
TOGETIC         -> TOGEKISS       
NATU            -> XATU           
MAREEP          -> FLAAFFY        
FLAAFFY         -> AMPHAROS       
MARILL          -> AZUMARILL      
HOPPIP          -> SKIPLOOM       
SKIPLOOM        -> JUMPLUFF       
AIPOM           -> AMBIPOM        
SUNKERN         -> SUNFLORA       
YANMA           -> YANMEGA        
WOOPER          -> QUAGSIRE       
MURKROW         -> HONCHKROW      
MISDREAVUS      -> MISMAGIUS      
PINECO          -> FORRETRESS     
GLIGAR          -> GLISCOR        
SNUBBULL        -> GRANBULL       
SNEASEL         -> WEAVILE        
TEDDIURSA       -> URSARING       
SLUGMA          -> MAGCARGO       
SWINUB          -> PILOSWINE      
PILOSWINE       -> MAMOSWINE      
REMORAID        -> OCTILLERY      
HOUNDOUR        -> HOUNDOOM       
PHANPY          -> DONPHAN        
PORYGON2        -> PORYGON-Z      
TYROGUE         -> HITMONCHAN, HITMONLEE and HITMONTOP
SMOOCHUM        -> JYNX           
ELEKID          -> ELECTABUZZ     
MAGBY           -> MAGMAR         
LARVITAR        -> PUPITAR        
PUPITAR         -> TYRANITAR      
TREECKO         -> GROVYLE        
GROVYLE         -> SCEPTILE       
TORCHIC         -> COMBUSKEN      
COMBUSKEN       -> BLAZIKEN       
MUDKIP          -> MARSHTOMP      
MARSHTOMP       -> SWAMPERT       
POOCHYENA       -> MIGHTYENA      
ZIGZAGOON       -> LINOONE        
WURMPLE         -> SILCOON and CASCOON
SILCOON         -> BEAUTIFLY      
CASCOON         -> DUSTOX         
LOTAD           -> LOMBRE         
LOMBRE          -> LUDICOLO       
SEEDOT          -> NUZLEAF        
NUZLEAF         -> SHIFTRY        
TAILLOW         -> SWELLOW        
WINGULL         -> PELIPPER       
RALTS           -> KIRLIA         
KIRLIA          -> GARDEVOIR and GALLADE
SURSKIT         -> MASQUERAIN     
SHROOMISH       -> BRELOOM        
SLAKOTH         -> VIGOROTH       
VIGOROTH        -> SLAKING        
NINCADA         -> NINJASK and SHEDINJA
WHISMUR         -> LOUDRED        
LOUDRED         -> EXPLOUD        
MAKUHITA        -> HARIYAMA       
AZURILL         -> MARILL         
NOSEPASS        -> PROBOPASS      
SKITTY          -> DELCATTY       
ARON            -> LAIRON         
LAIRON          -> AGGRON         
MEDITITE        -> MEDICHAM       
ELECTRIKE       -> MANECTRIC      
ROSELIA         -> ROSERADE       
GULPIN          -> SWALOT         
CARVANHA        -> SHARPEDO       
WAILMER         -> WAILORD        
NUMEL           -> CAMERUPT       
SPOINK          -> GRUMPIG        
TRAPINCH        -> VIBRAVA        
VIBRAVA         -> FLYGON         
CACNEA          -> CACTURNE       
SWABLU          -> ALTARIA        
BARBOACH        -> WHISCASH       
CORPHISH        -> CRAWDAUNT      
BALTOY          -> CLAYDOL        
LILEEP          -> CRADILY        
ANORITH         -> ARMALDO        
FEEBAS          -> MILOTIC        
SHUPPET         -> BANETTE        
DUSKULL         -> DUSCLOPS       
DUSCLOPS        -> DUSKNOIR       
WYNAUT          -> WOBBUFFET      
SNORUNT         -> GLALIE and FROSLASS
SPHEAL          -> SEALEO         
SEALEO          -> WALREIN        
CLAMPERL        -> HUNTAIL and GOREBYSS
BAGON           -> SHELGON        
SHELGON         -> SALAMENCE      
BELDUM          -> METANG         
METANG          -> METAGROSS      
TURTWIG         -> GROTLE         
GROTLE          -> TORTERRA       
CHIMCHAR        -> MONFERNO       
MONFERNO        -> INFERNAPE      
PIPLUP          -> PRINPLUP       
PRINPLUP        -> EMPOLEON       
STARLY          -> STARAVIA       
STARAVIA        -> STARAPTOR      
BIDOOF          -> BIBAREL        
KRICKETOT       -> KRICKETUNE     
SHINX           -> LUXIO          
LUXIO           -> LUXRAY         
BUDEW           -> ROSELIA        
CRANIDOS        -> RAMPARDOS      
SHIELDON        -> BASTIODON      
BURMY           -> WORMADAM and MOTHIM
COMBEE          -> VESPIQUEN      
BUIZEL          -> FLOATZEL       
CHERUBI         -> CHERRIM        
SHELLOS         -> GASTRODON      
DRIFLOON        -> DRIFBLIM       
BUNEARY         -> LOPUNNY        
GLAMEOW         -> PURUGLY        
CHINGLING       -> CHIMECHO       
STUNKY          -> SKUNTANK       
BRONZOR         -> BRONZONG       
BONSLY          -> SUDOWOODO      
MIME JR.        -> MR. MIME       
HAPPINY         -> CHANSEY        
GIBLE           -> GABITE         
GABITE          -> GARCHOMP       
MUNCHLAX        -> SNORLAX        
RIOLU           -> LUCARIO        
HIPPOPOTAS      -> HIPPOWDON      
SKORUPI         -> DRAPION        
CROAGUNK        -> TOXICROAK      
FINNEON         -> LUMINEON       
MANTYKE         -> MANTINE        
SNOVER          -> ABOMASNOW      

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    | EVO|ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Overgrow    | -          |BASE|
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Overgrow    | -          |MID |
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Overgrow    | -          |FULL|
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|Blaze       | -          |BASE|
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|Blaze       | -          |MID |
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Blaze       | -          |FULL|
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|Torrent     | -          |BASE|
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|Torrent     | -          |MID |
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|Torrent     | -          |FULL|
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|Shield Dust | -          |BASE|
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|Shed Skin   | -          |MID |
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|Compoundeyes| -          |FULL|SilverPowder (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|Shield Dust | -          |BASE|
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|Shed Skin   | -          |MID |
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|Swarm       | -          |FULL|Poison Barb (rare)
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Keen Eye    |Tangled Feet|BASE|
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Keen Eye    |Tangled Feet|MID |
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|Keen Eye    |Tangled Feet|FULL|
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|Run Away    |Guts        |BASE|Chilan Berry (rare)
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|Run Away    |Guts        |FULL|Chilan Berry (rare)
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Keen Eye    | -          |BASE|
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Keen Eye    | -          |FULL|Sharp Beak (rare)
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|Intimidate  |Shed Skin   |BASE|
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|Intimidate  |Shed Skin   |FULL|
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|Static      | -          |MID |Oran Berry (common), Light Ball (rare)
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|Static      | -          |FULL|Oran Berry (rare)
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|Sand Veil   | -          |BASE|Quick Claw (rare)
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|Sand Veil   | -          |FULL|Quick Claw (rare)
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|Poison Point|Rivalry     |BASE|
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|Poison Point|Rivalry     |MID |
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|Poison Point|Rivalry     |FULL|
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|Poison Point|Rivalry     |BASE|
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|Poison Point|Rivalry     |MID |
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|Poison Point|Rivalry     |FULL|
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|Cute Charm  |Magic Guard |MID |Leppa Berry (common), Moon Stone (rare)
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|Cute Charm  |Magic Guard |FULL|Leppa Berry (common), Moon Stone (rare)
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|Flash Fire  | -          |BASE|Rawst Berry (100%)
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|Flash Fire  | -          |FULL|Rawst Berry (100%)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|Cute Charm  | -          |MID |
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|Cute Charm  | -          |FULL|
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Inner Focus | -          |BASE|
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Inner Focus | -          |MID |
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Chlorophyll | -          |BASE|
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Chlorophyll | -          |MID |
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|Chlorophyll | -          |FULL|
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Effect Spore|Dry Skin    |BASE|TinyMushroom (common), Big Mushroom (rare)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Effect Spore|Dry Skin    |FULL|TinyMushroom (common), Big Mushroom (rare)
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|Compoundeyes|Tinted Lens |BASE|
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|Shield Dust |Tinted Lens |FULL|Shed Shell (rare)
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|Sand Veil   |Arena Trap  |BASE|Soft Sand (rare)
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|Sand Veil   |Arena Trap  |FULL|Soft Sand (rare)
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|Pickup      |Technician  |BASE|Quick Claw (rare)
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|Limber      |Technician  |FULL|Quick Claw (rare)
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|Damp        |Cloud Nine  |BASE|
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|Damp        |Cloud Nine  |FULL|
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|Vital Spirit|Anger Point |BASE|Payapa Berry (rare)
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|Vital Spirit|Anger Point |FULL|Payapa Berry (rare)
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|Intimidate  |Flash Fire  |BASE|Rawst Berry (100%)
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|Intimidate  |Flash Fire  |FULL|Rawst Berry (100%)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|Water Absorb|Damp        |BASE|
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|Water Absorb|Damp        |MID |King’s Rock (rare)
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|Water Absorb|Damp        |FULL|King’s Rock (rare)
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|Synchronize |Inner Focus |BASE|TwistedSpoon (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|Synchronize |Inner Focus |MID |TwistedSpoon (rare)
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|Synchronize |Inner Focus |FULL|TwistedSpoon (rare)
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|Guts        |No Guard    |BASE|
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|Guts        |No Guard    |MID |
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|Guts        |No Guard    |FULL|
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Chlorophyll | -          |BASE|
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Chlorophyll | -          |MID |
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|Chlorophyll | -          |FULL|
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|Clear Body  |Liquid Ooze |BASE|Poison Barb (rare)
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|Clear Body  |Liquid Ooze |FULL|Poison Barb (rare)
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Rock Head   |Sturdy      |BASE|Everstone (rare)
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Rock Head   |Sturdy      |MID |Everstone (rare)
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|Rock Head   |Sturdy      |FULL|Everstone (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|Run Away    |Flash Fire  |BASE|Shuca Berry (rare)
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|Run Away    |Flash Fire  |FULL|Shuca Berry (rare)
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Oblivious   |Own Tempo   |BASE|Lagging Tail (rare)
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Oblivious   |Own Tempo   |FULL|King’s Rock (rare)
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Magnet Pull |Sturdy      |BASE|Metal Coat (rare)
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Magnet Pull |Sturdy      |MID |Metal Coat (rare)
 83|FARFETCH’D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Keen Eye    |Inner Focus |FULL|Stick (rare)
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Run Away    |Early Bird  |BASE|Sharp Beak (rare)
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Run Away    |Early Bird  |FULL|Sharp Beak (rare)
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|Thick Fat   |Hydration   |BASE|
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|Thick Fat   |Hydration   |FULL|
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|Stench      |Sticky Hold |BASE|Nugget (rare)
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|Stench      |Sticky Hold |FULL|Nugget (rare)
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|Shell Armor |Skill Link  |BASE|Pearl (common), Big Pearl (rare)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|Shell Armor |Skill Link  |FULL|Pearl (common), Big Pearl (rare)
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Levitate    | -          |BASE|
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Levitate    | -          |MID |
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Levitate    | -          |FULL|
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Rock Head   |Sturdy      |BASE|
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|Insomnia    |Forewarn    |BASE|
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|Insomnia    |Forewarn    |FULL|
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|Hyper Cutter|Shell Armor |BASE|
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|Hyper Cutter|Shell Armor |FULL|
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|Soundproof  |Static      |BASE|
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|Soundproof  |Static      |FULL|
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Chlorophyll | -          |BASE|
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Chlorophyll | -          |FULL|
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|Rock Head   |Lightningrod|BASE|Thick Club (rare)
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|Rock Head   |Lightningrod|FULL|Thick Club (rare)
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|Limber      |Reckless    |FULL|
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|Keen Eye    |Iron Fist   |FULL|
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|Own Tempo   |Oblivious   |BASE|Lagging Tail (rare)
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|Levitate    | -          |BASE|Smoke Ball (rare)
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|Levitate    | -          |FULL|Smoke Ball (rare)
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Lightningrod|Rock Head   |BASE|
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Lightningrod|Rock Head   |MID |
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|Natural Cure|Serene Grace|MID |Oval Stone (common), Lucky Egg (rare)
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|Chlorophyll |Leaf Guard  |BASE|
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|Early Bird  |Scrappy     |FULL|
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|Swift Swim  |Sniper      |BASE|Dragon Scale (rare)
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|Poison Point|Sniper      |MID |Dragon Scale (rare)
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|Swift Swim  |Water Veil  |BASE|
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|Swift Swim  |Water Veil  |FULL|
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|Illuminate  |Natural Cure|BASE|Stardust (common), Star Piece (rare)
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Illuminate  |Natural Cure|FULL|Stardust (common), Star Piece (rare)
122|MR. MIME     |PSYCHIC          |  40|  45|  65| 100| 120|  90|Soundproof  |Filter      |FULL|Leppa Berry (rare)
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Swarm       |Technician  |BASE|
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Oblivious   |Forewarn    |FULL|Aspear Berry (100%)
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|Static      | -          |MID |
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|Flame Body  | -          |MID |
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|Hyper Cutter|Mold Breaker|FULL|
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|Intimidate  |Anger Point |FULL|
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|Swift Swim  | -          |BASE|
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Intimidate  | -          |FULL|
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|Water Absorb|Shell Armor |FULL|
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|Limber      | -          |FULL|Quick Powder (common), Metal Powder (rare)
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|Run Away    |Adaptability|BASE|
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|Water Absorb|--          |FULL|
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|Volt Absorb |--          |FULL|
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|Flash Fire  |--          |FULL|
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|Trace       |Download    |BASE|
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Swift Swim  |Shell Armor |BASE|
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Swift Swim  |Shell Armor |FULL|
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Swift Swim  |Battle Armor|BASE|
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Swift Swim  |Battle Armor|FULL|
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Rock Head   |Pressure    |FULL|
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|Immunity    |Thick Fat   |FULL|Leftovers (100%)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Pressure    | -          |FULL|
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Pressure    | -          |FULL|
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Pressure    | -          |FULL|
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|Shed Skin   | -          |BASE|Dragon Scale (rare)
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|Shed Skin   | -          |MID |Dragon Scale (rare)
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Inner Focus | -          |FULL|Dragon Scale (rare)
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|Pressure    | -          |FULL|
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|Synchronize | -          |FULL|Lum Berry (100%)
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|Overgrow    | -          |BASE|
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|Overgrow    | -          |MID |
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|Overgrow    | -          |FULL|
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|Blaze       | -          |BASE|
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|Blaze       | -          |MID |
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|Blaze       | -          |FULL|
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|Torrent     | -          |BASE|
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|Torrent     | -          |MID |
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|Torrent     | -          |FULL|
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|Run Away    |Keen Eye    |BASE|Oran Berry (rare)
