Randomizer Version: 4.6.1-HAL
Random Seed: 113052562188845
Settings String: 322AAgEAQEBAAQABwAEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBAAyAAIAEEZpcmUgUmVkIChVKSAxLjDynVAU48M4ig==

--Randomized Evolutions--
BULBASAUR       -> IVYSAUR        
KABUTO          -> KABUTOPS       
DRATINI         -> DRAGONAIR      
DRAGONAIR       -> DRAGONITE      
CHIKORITA       -> BAYLEEF        
BAYLEEF         -> MEGANIUM       
CYNDAQUIL       -> QUILAVA        
QUILAVA         -> TYPHLOSION     
TOTODILE        -> CROCONAW       
CROCONAW        -> FERALIGATR     
SENTRET         -> FURRET         
HOOTHOOT        -> NOCTOWL        
LEDYBA          -> LEDIAN         
SPINARAK        -> ARIADOS        
CHINCHOU        -> LANTURN        
PICHU           -> PIKACHU        
CLEFFA          -> CLEFAIRY       
IGGLYBUFF       -> JIGGLYPUFF     
TOGEPI          -> TOGETIC        
NATU            -> XATU           
MAREEP          -> FLAAFFY        
FLAAFFY         -> AMPHAROS       
MARILL          -> AZUMARILL      
HOPPIP          -> SKIPLOOM       
SKIPLOOM        -> JUMPLUFF       
SUNKERN         -> SUNFLORA       
WOOPER          -> QUAGSIRE       
PINECO          -> FORRETRESS     
SNUBBULL        -> GRANBULL       
TEDDIURSA       -> URSARING       
SLUGMA          -> MAGCARGO       
SWINUB          -> PILOSWINE      
REMORAID        -> OCTILLERY      
HOUNDOUR        -> HOUNDOOM       
PHANPY          -> DONPHAN        
TYROGUE         -> HITMONCHAN, HITMONLEE and HITMONTOP
SMOOCHUM        -> JYNX           
ELEKID          -> ELECTABUZZ     
MAGBY           -> MAGMAR         
LARVITAR        -> PUPITAR        
PUPITAR         -> TYRANITAR      
TREECKO         -> GROVYLE        
GROVYLE         -> SCEPTILE       
TORCHIC         -> COMBUSKEN      
COMBUSKEN       -> BLAZIKEN       
MUDKIP          -> MARSHTOMP      
MARSHTOMP       -> SWAMPERT       
POOCHYENA       -> MIGHTYENA      
ZIGZAGOON       -> LINOONE        
WURMPLE         -> SILCOON and CASCOON
SILCOON         -> BEAUTIFLY      
CASCOON         -> DUSTOX         
LOTAD           -> LOMBRE         
LOMBRE          -> LUDICOLO       
SEEDOT          -> NUZLEAF        
NUZLEAF         -> SHIFTRY        
TAILLOW         -> SWELLOW        
WINGULL         -> PELIPPER       
RALTS           -> KIRLIA         
KIRLIA          -> GARDEVOIR      
SURSKIT         -> MASQUERAIN     
SHROOMISH       -> BRELOOM        
SLAKOTH         -> VIGOROTH       
VIGOROTH        -> SLAKING        
NINCADA         -> NINJASK and SHEDINJA
WHISMUR         -> LOUDRED        
LOUDRED         -> EXPLOUD        
MAKUHITA        -> HARIYAMA       
AZURILL         -> MARILL         
SKITTY          -> DELCATTY       
ARON            -> LAIRON         
LAIRON          -> AGGRON         
MEDITITE        -> MEDICHAM       
ELECTRIKE       -> MANECTRIC      
GULPIN          -> SWALOT         
CARVANHA        -> SHARPEDO       
WAILMER         -> WAILORD        
NUMEL           -> CAMERUPT       
SPOINK          -> GRUMPIG        
TRAPINCH        -> VIBRAVA        
VIBRAVA         -> FLYGON         
CACNEA          -> CACTURNE       
SWABLU          -> ALTARIA        
BARBOACH        -> WHISCASH       
CORPHISH        -> CRAWDAUNT      
BALTOY          -> CLAYDOL        
LILEEP          -> CRADILY        
ANORITH         -> ARMALDO        
FEEBAS          -> MILOTIC        
SHUPPET         -> BANETTE        
DUSKULL         -> DUSCLOPS       
WYNAUT          -> WOBBUFFET      
SNORUNT         -> GLALIE         
SPHEAL          -> SEALEO         
SEALEO          -> WALREIN        
CLAMPERL        -> HUNTAIL and GOREBYSS
BAGON           -> SHELGON        
SHELGON         -> SALAMENCE      
BELDUM          -> METANG         
METANG          -> METAGROSS      

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    | EVO|ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|OVERGROW    |-------     |BASE|
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|OVERGROW    |-------     |MID |
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|OVERGROW    |-------     |FULL|
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|BLAZE       |-------     |BASE|
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|BLAZE       |-------     |MID |
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|BLAZE       |-------     |FULL|
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|TORRENT     |-------     |BASE|
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|TORRENT     |-------     |MID |
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|TORRENT     |-------     |FULL|
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|SHIELD DUST |-------     |BASE|
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|SHED SKIN   |-------     |MID |
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|COMPOUNDEYES|-------     |FULL|SILVERPOWDER (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|SHIELD DUST |-------     |BASE|
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|SHED SKIN   |-------     |MID |
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|SWARM       |-------     |FULL|POISON BARB (rare)
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|KEEN EYE    |-------     |BASE|
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|KEEN EYE    |-------     |MID |
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|KEEN EYE    |-------     |FULL|
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|RUN AWAY    |GUTS        |BASE|
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|RUN AWAY    |GUTS        |FULL|ORAN BERRY (common), SITRUS BERRY (rare)
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|KEEN EYE    |-------     |BASE|
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|KEEN EYE    |-------     |FULL|SHARP BEAK (rare)
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|INTIMIDATE  |SHED SKIN   |BASE|
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|INTIMIDATE  |SHED SKIN   |FULL|POISON BARB (rare)
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|STATIC      |-------     |MID |
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|STATIC      |-------     |FULL|
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|SAND VEIL   |-------     |BASE|
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|SAND VEIL   |-------     |FULL|SOFT SAND (rare)
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|POISON POINT|-------     |BASE|
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|POISON POINT|-------     |MID |
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|POISON POINT|-------     |FULL|
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|POISON POINT|-------     |BASE|
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|POISON POINT|-------     |MID |
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|POISON POINT|-------     |FULL|
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|CUTE CHARM  |-------     |MID |MOON STONE (rare)
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|CUTE CHARM  |-------     |FULL|MOON STONE (rare)
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|FLASH FIRE  |-------     |BASE|RAWST BERRY (common)
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|FLASH FIRE  |-------     |FULL|RAWST BERRY (common)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|CUTE CHARM  |-------     |MID |ORAN BERRY (common)
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|CUTE CHARM  |-------     |FULL|ORAN BERRY (common)
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|INNER FOCUS |-------     |BASE|
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|INNER FOCUS |-------     |MID |
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|CHLOROPHYLL |-------     |BASE|
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|CHLOROPHYLL |-------     |MID |
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|CHLOROPHYLL |-------     |FULL|
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|EFFECT SPORE|-------     |BASE|TINYMUSHROOM (common), BIG MUSHROOM (rare)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|EFFECT SPORE|-------     |FULL|TINYMUSHROOM (common), BIG MUSHROOM (rare)
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|COMPOUNDEYES|-------     |BASE|
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|SHIELD DUST |-------     |FULL|SILVERPOWDER (rare)
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|SAND VEIL   |ARENA TRAP  |BASE|
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|SAND VEIL   |ARENA TRAP  |FULL|
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|PICKUP      |-------     |BASE|NUGGET (rare)
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|LIMBER      |-------     |FULL|
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|DAMP        |CLOUD NINE  |BASE|
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|DAMP        |CLOUD NINE  |FULL|
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|VITAL SPIRIT|-------     |BASE|
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|VITAL SPIRIT|-------     |FULL|
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|INTIMIDATE  |FLASH FIRE  |BASE|RAWST BERRY (common)
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|INTIMIDATE  |FLASH FIRE  |FULL|RAWST BERRY (common)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|WATER ABSORB|DAMP        |BASE|
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|WATER ABSORB|DAMP        |MID |
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|WATER ABSORB|DAMP        |FULL|
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|SYNCHRONIZE |INNER FOCUS |BASE|TWISTEDSPOON (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|SYNCHRONIZE |INNER FOCUS |MID |TWISTEDSPOON (rare)
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|SYNCHRONIZE |INNER FOCUS |FULL|TWISTEDSPOON (rare)
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|GUTS        |-------     |BASE|
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|GUTS        |-------     |MID |FOCUS BAND (rare)
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|GUTS        |-------     |FULL|FOCUS BAND (rare)
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|CHLOROPHYLL |-------     |BASE|
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|CHLOROPHYLL |-------     |MID |
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|CHLOROPHYLL |-------     |FULL|
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|CLEAR BODY  |LIQUID OOZE |BASE|
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|CLEAR BODY  |LIQUID OOZE |FULL|
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|ROCK HEAD   |STURDY      |BASE|
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|ROCK HEAD   |STURDY      |MID |HARD STONE (rare)
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|ROCK HEAD   |STURDY      |FULL|HARD STONE (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|RUN AWAY    |FLASH FIRE  |BASE|
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|RUN AWAY    |FLASH FIRE  |FULL|
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|OBLIVIOUS   |OWN TEMPO   |BASE|
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|OBLIVIOUS   |OWN TEMPO   |FULL|
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|MAGNET PULL |STURDY      |BASE|
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|MAGNET PULL |STURDY      |FULL|MAGNET (rare)
 83|FARFETCH’D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|KEEN EYE    |INNER FOCUS |FULL|STICK (rare)
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|RUN AWAY    |EARLY BIRD  |BASE|
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|RUN AWAY    |EARLY BIRD  |FULL|SHARP BEAK (rare)
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|THICK FAT   |-------     |BASE|ASPEAR BERRY (common)
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|THICK FAT   |-------     |FULL|ASPEAR BERRY (common), NEVERMELTICE (rare)
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|STENCH      |STICKY HOLD |BASE|
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|STENCH      |STICKY HOLD |FULL|
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|SHELL ARMOR |-------     |BASE|PEARL (common), BIG PEARL (rare)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|SHELL ARMOR |-------     |FULL|PEARL (common), BIG PEARL (rare)
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|LEVITATE    |-------     |BASE|
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|LEVITATE    |-------     |MID |SPELL TAG (rare)
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|LEVITATE    |-------     |FULL|SPELL TAG (rare)
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|ROCK HEAD   |STURDY      |BASE|HARD STONE (rare)
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|INSOMNIA    |-------     |BASE|
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|INSOMNIA    |-------     |FULL|
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|HYPER CUTTER|SHELL ARMOR |BASE|
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|HYPER CUTTER|SHELL ARMOR |FULL|
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|SOUNDPROOF  |STATIC      |BASE|
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|SOUNDPROOF  |STATIC      |FULL|
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|CHLOROPHYLL |-------     |BASE|
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|CHLOROPHYLL |-------     |FULL|
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|ROCK HEAD   |LIGHTNINGROD|BASE|THICK CLUB (rare)
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|ROCK HEAD   |LIGHTNINGROD|FULL|THICK CLUB (rare)
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|LIMBER      |-------     |FULL|
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|KEEN EYE    |-------     |FULL|
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|OWN TEMPO   |OBLIVIOUS   |FULL|
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|LEVITATE    |-------     |BASE|
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|LEVITATE    |-------     |FULL|
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|LIGHTNINGROD|ROCK HEAD   |BASE|
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|LIGHTNINGROD|ROCK HEAD   |FULL|
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|NATURAL CURE|SERENE GRACE|BASE|LUCKY EGG (rare)
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|CHLOROPHYLL |-------     |FULL|
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|EARLY BIRD  |-------     |FULL|
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|SWIFT SWIM  |-------     |BASE|
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|POISON POINT|-------     |MID |
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|SWIFT SWIM  |WATER VEIL  |BASE|
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|SWIFT SWIM  |WATER VEIL  |FULL|
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|ILLUMINATE  |NATURAL CURE|BASE|STARDUST (common), STAR PIECE (rare)
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|ILLUMINATE  |NATURAL CURE|FULL|STARDUST (common), STAR PIECE (rare)
122|MR. MIME     |PSYCHIC          |  40|  45|  65| 100| 120|  90|SOUNDPROOF  |-------     |FULL|
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|SWARM       |-------     |BASE|
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|OBLIVIOUS   |-------     |FULL|
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|STATIC      |-------     |FULL|
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|FLAME BODY  |-------     |FULL|
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|HYPER CUTTER|-------     |FULL|
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|INTIMIDATE  |-------     |FULL|
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|SWIFT SWIM  |-------     |BASE|
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|INTIMIDATE  |-------     |FULL|
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|WATER ABSORB|SHELL ARMOR |FULL|
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|LIMBER      |-------     |FULL|METAL POWDER (rare)
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|RUN AWAY    |-------     |BASE|
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|WATER ABSORB|-------     |FULL|
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|VOLT ABSORB |-------     |FULL|
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|FLASH FIRE  |-------     |FULL|
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|TRACE       |-------     |BASE|
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|SWIFT SWIM  |SHELL ARMOR |BASE|
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|SWIFT SWIM  |SHELL ARMOR |FULL|
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|SWIFT SWIM  |BATTLE ARMOR|BASE|
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|SWIFT SWIM  |BATTLE ARMOR|FULL|
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|ROCK HEAD   |PRESSURE    |FULL|
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|IMMUNITY    |THICK FAT   |FULL|CHESTO BERRY (100%)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|PRESSURE    |-------     |FULL|
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|PRESSURE    |-------     |FULL|
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|PRESSURE    |-------     |FULL|
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|SHED SKIN   |-------     |BASE|
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|SHED SKIN   |-------     |MID |DRAGON FANG (rare)
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|INNER FOCUS |-------     |FULL|DRAGON FANG (rare)
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|PRESSURE    |-------     |FULL|
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|SYNCHRONIZE |-------     |FULL|
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|OVERGROW    |-------     |BASE|LUM BERRY (100%)
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|OVERGROW    |-------     |MID |
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|OVERGROW    |-------     |FULL|
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|BLAZE       |-------     |BASE|
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|BLAZE       |-------     |MID |
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|BLAZE       |-------     |FULL|
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|TORRENT     |-------     |BASE|
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|TORRENT     |-------     |MID |
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|TORRENT     |-------     |FULL|
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|RUN AWAY    |KEEN EYE    |BASE|ORAN BERRY (rare)
162|FURRET       |NORMAL           |  85|  76|  64|  45|  55|  90|RUN AWAY    |KEEN EYE    |FULL|ORAN BERRY (common), SITRUS BERRY (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|INSOMNIA    |KEEN EYE    |BASE|
164|NOCTOWL      |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|INSOMNIA    |KEEN EYE    |FULL|
165|LEDYBA       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|SWARM       |EARLY BIRD  |BASE|
166|LEDIAN       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|SWARM       |EARLY BIRD  |FULL|
167|SPINARAK     |BUG/POISON       |  40|  60|  40|  40|  40|  30|SWARM       |INSOMNIA    |BASE|
168|ARIADOS      |BUG/POISON       |  70|  90|  70|  60|  60|  40|SWARM       |INSOMNIA    |FULL|
169|CROBAT       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|INNER FOCUS |-------     |FULL|
170|CHINCHOU     |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|VOLT ABSORB |ILLUMINATE  |BASE|YELLOW SHARD (rare)
171|LANTURN      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|VOLT ABSORB |ILLUMINATE  |FULL|YELLOW SHARD (rare)
172|PICHU        |ELECTRIC         |  20|  40|  15|  35|  35|  60|STATIC      |-------     |BASE|
173|CLEFFA       |NORMAL           |  50|  25|  28|  45|  55|  15|CUTE CHARM  |-------     |BASE|MOON STONE (rare)
174|IGGLYBUFF    |NORMAL           |  90|  30|  15|  40|  20|  15|CUTE CHARM  |-------     |BASE|ORAN BERRY (common)
