Randomizer Version: 4.5.1-HAL
Random Seed: 23962706501124
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> VOLBEAT        
COMBEE          -> HOOTHOOT       
BUIZEL          -> MOLTRES        
CHERUBI         -> WARTORTLE      
SHELLOS         -> MESPRIT        
DRIFLOON        -> MAGIKARP       
BUNEARY         -> GYARADOS       
GLAMEOW         -> CHERRIM        
CHINGLING       -> DODUO          
STUNKY          -> TOGEKISS       
BRONZOR         -> DRATINI        
BONSLY          -> TENTACRUEL     
MIME JR.        -> MANTINE        
HAPPINY         -> WEEZING        
GIBLE           -> ARMALDO        
GABITE          -> TAUROS         
MUNCHLAX        -> CHIMECHO       
RIOLU           -> TANGELA        
HIPPOPOTAS      -> PALKIA         
SKORUPI         -> STARAVIA       
CROAGUNK        -> GLAMEOW        
FINNEON         -> VOLTORB        
MANTYKE         -> PUPITAR        
SNOVER          -> PORYGON-Z      

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    | EVO|ITEM
  1|BULBASAUR    |GRASS/NORMAL     |  40|  91|  50|  64|  36| 116|Tangled Feet|Pickup      |MID |Magmarizer (common)
  2|IVYSAUR      |FIGHTING/ELECTRIC|  23|  81|  57| 106|  29|  38|Volt Absorb |Ice Body    |BASE|EnergyPowder (common), Shoal Salt (rare)
  3|VENUSAUR     |PSYCHIC          |  43|  79|  19|  74| 151|  92|Speed Boost |Hustle      |FULL|Fist Plate (common), Brick Mail (rare)
  4|CHARMANDER   |GRASS            |  39|  53|  10|  10|  64|  55|Overgrow    | -          |BASE|
  5|CHARMELEON   |WATER            |  89|  52|  10|  53|  85|  51|Technician  | -          |BASE|
  6|CHARIZARD    |FIGHTING         | 119| 127|  17|  54| 112|  89|Rain Dish   | -          |FULL|Pink Scarf (common), Pinap Berry (rare)
  7|SQUIRTLE     |POISON/STEEL     |  54|  52|  49|  22|  47|  15|Truant      | -          |BASE|
  8|WARTORTLE    |FIRE             |  79|  22|  58|  75|  74| 107|Truant      |Anticipation|MID |
  9|BLASTOISE    |FLYING           | 127| 144| 173|  41|  18| 179|Shed Skin   | -          |FULL|
 10|CATERPIE     |GROUND           |  94|  11|  40|  96|  13|  44|Effect Spore|Battle Armor|MID |Dusk Ball (common)
 11|METAPOD      |ELECTRIC         |  24|  16|  10|  86|  27|  99|Sturdy      |Iron Fist   |BASE|
 12|BUTTERFREE   |ELECTRIC/FIGHTING|  83|  98|  85|  62|  93|  52|Storm Drain |Cute Charm  |FULL|TM50 (100%)
 13|WEEDLE       |ICE/ELECTRIC     | 111|  49| 141|  67| 107|  26|Mold Breaker|Solar Power |MID |
 14|KAKUNA       |DRAGON           | 120|  31|  92| 139|  41|  84|Color Change|Arena Trap  |MID |
 15|BEEDRILL     |STEEL            |  58|  48|  89|  82| 116|  14|Rough Skin  |Gluttony    |FULL|Gooey Mulch (common)
 16|PIDGEY       |FIRE             |  61|  36|  16|  64|  32|  23|Unburden    |Arena Trap  |BASE|
 17|PIDGEOTTO    |FIRE/POISON      |  52|  10|  57|  40|  71|  58|Adaptability|Damp        |BASE|
 18|PIDGEOT      |FLYING/NORMAL    |  79|  43|  31|  16| 114| 215|Speed Boost | -          |FULL|Great Ball (common), TM47 (rare)
 19|RATTATA      |DRAGON/DARK      |  24| 147| 100| 128|  16|  35|Poison Point|Volt Absorb |BASE|Green Scarf (common), Watmel Berry (rare)
 20|RATICATE     |DRAGON/GHOST     |  85|  95|  77|  95|  52|  56|Arena Trap  |Huge Power  |FULL|
 21|SPEAROW      |FLYING           |  58|  18|  19| 107| 125|  74|Pure Power  |Volt Absorb |BASE|
 22|FEAROW       |ICE              | 136|  74| 109| 136|  10|  19|Reckless    | -          |FULL|TM51 (100%)
 23|EKANS        |BUG/GHOST        |  84|  48|  54|  14|  64|  12|Inner Focus | -          |BASE|
 24|ARBOK        |ROCK/PSYCHIC     | 100|  82| 106| 102|  98|  10|Intimidate  |Anger Point |FULL|Luck Incense (common), Mago Berry (rare)
 25|PIKACHU      |POISON/PSYCHIC   | 119|  61|  42| 111|  58|  60|Normalize   | -          |MID |
 26|RAICHU       |GRASS/NORMAL     | 145|  83|  61| 142|  31|  19|Static      | -          |FULL|Hondew Berry (common), Rawst Berry (rare)
 27|SANDSHREW    |GROUND/FLYING    |  79|  10|  25|  19|  56|  70|Shadow Tag  |Rivalry     |BASE|Air Mail (common)
 28|SANDSLASH    |DARK/GHOST       |  75| 137|  56|  70|  63|  73|Oblivious   |Serene Grace|FULL|Zoom Lens (rare)
 29|NIDORAN♀     |ELECTRIC         |  93|  14|  60|  71|  83|  63|Early Bird  | -          |MID |
 30|NIDORINA     |STEEL/FIGHTING   |  57|  66|  58|  51|  44| 104|Tangled Feet|Honey Gather|MID |
 31|NIDOQUEEN    |BUG              |  56| 104|  44| 114|  16| 132|Suction Cups| -          |FULL|Rose Incense (rare)
 32|NIDORAN♂     |FIGHTING         |  43|  95|  21|  19|  56|  76|Gluttony    |Scrappy     |BASE|TM22 (common), Sticky Barb (rare)
 33|NIDORINO     |FLYING           | 130| 119|  77|  25| 106|  30|Liquid Ooze | -          |MID |
 34|NIDOKING     |ROCK             |  24| 152| 137|  25| 114|  14|Tangled Feet| -          |FULL|
 35|CLEFAIRY     |STEEL            |  73|  94|  13|  60| 174|  81|Klutz       |Pickup      |MID |
 36|CLEFABLE     |POISON           |  91| 119| 102|  24| 140|  48|Oblivious   |Tinted Lens |FULL|
 37|VULPIX       |DRAGON/GROUND    |  20|  84|  80|  76|  10|  82|Pickup      |Color Change|BASE|Nest Ball (100%)
 38|NINETALES    |GRASS            | 132|  22|  23|  94|  90|  87|Sand Stream | -          |FULL|Figy Berry (100%)
 39|JIGGLYPUFF   |FIRE             |  73|  76|  25|  52|  46|  50|Cute Charm  | -          |BASE|Hard Stone (common), TM46 (rare)
 40|WIGGLYTUFF   |FLYING           | 194|  74|  42| 144|  26|  25|Aftermath   |Torrent     |FULL|Shiny Stone (rare)
 41|ZUBAT        |BUG/FIRE         |  60|  79|  71|  35|  54|  13|Battle Armor|Simple      |MID |
 42|GOLBAT       |FIGHTING/FIRE    |  20|  51|  56|  70|  82|  13|Flash Fire  |Swift Swim  |BASE|
 43|ODDISH       |POISON/BUG       |  84|  98|  68|  33|  12|  33|Download    | -          |BASE|
 44|GLOOM        |DRAGON/FIRE      |  20|  31|  70|  11|  66|  61|Rivalry     | -          |BASE|
 45|VILEPLUME    |BUG              |  42|  90| 133| 125|  77|  22|Gluttony    |Huge Power  |FULL|TM05 (common), Petaya Berry (rare)
 46|PARAS        |NORMAL           |  20|  56|  53|  21| 116| 106|Download    | -          |BASE|Destiny Knot (common)
 47|PARASECT     |GRASS/ICE        |  54| 134| 194|  15|  44| 129|Scrappy     | -          |FULL|
 48|VENONAT      |BUG/ROCK         |  44|  52|  54|  60|  47|  56|Shadow Tag  | -          |MID |TM89 (common), Max Revive (rare)
 49|VENOMOTH     |ROCK/FIGHTING    |  20|  74|  42| 116| 174|  24|Immunity    | -          |FULL|
 50|DIGLETT      |ICE              |  50|  69|  80|  63|  51|  62|Inner Focus |Sniper      |BASE|Big Mushroom (rare)
 51|DUGTRIO      |FLYING/POISON    |  64| 100| 126|  15|  88|  72|Run Away    | -          |FULL|SilverPowder (common)
 52|MEOWTH       |GRASS            |  40|  57|  33|  52|  60|  93|Chlorophyll | -          |BASE|
 53|PERSIAN      |PSYCHIC/GHOST    |  24|  64|  53|  96|  95|  82|Static      |Keen Eye    |FULL|White Herb (rare)
 54|PSYDUCK      |ELECTRIC         | 101| 107|  39|  46|  69|  91|Drought     | -          |BASE|TM85 (rare)
 55|GOLDUCK      |PSYCHIC          |  22| 110| 123|  32|  59| 146|Shield Dust |Sniper      |FULL|
 56|MANKEY       |GROUND           |  20| 115| 119|  59|  63| 102|Suction Cups| -          |MID |
 57|PRIMEAPE     |ROCK/FIGHTING    |  21| 113|  19| 114|  81| 102|Compoundeyes|Illuminate  |FULL|
 58|GROWLITHE    |DRAGON/ICE       |  71| 116|  89|  15|  78|  67|Flame Body  | -          |MID |TM71 (100%)
 59|ARCANINE     |ROCK             |  77| 166| 101|  42|  56|  95|Mold Breaker|Shadow Tag  |FULL|Magnet (100%)
 60|POLIWAG      |FIRE             |  20|  14|  89|  72|  29| 140|Suction Cups| -          |BASE|
 61|POLIWHIRL    |ICE              | 103|  64|  31|  16|  16|  27|Insomnia    |Oblivious   |BASE|
 62|POLIWRATH    |GRASS            |  20|  96| 118|  68|  84|  67|Drought     | -          |FULL|Soul Dew (rare)
 63|ABRA         |DRAGON           |  41|  41|  31|  22|  76|  26|Torrent     |Lightningrod|BASE|Flame Plate (common)
 64|KADABRA      |FIGHTING         |  71|  55|  72|  60|  11|  23|Honey Gather|Super Luck  |MID |TM01 (common)
 65|ALAKAZAM     |STEEL            | 116|  55|  66| 126|  69|  89|Run Away    | -          |FULL|Spooky Plate (rare)
 66|MACHOP       |FLYING/STEEL     | 135|  26|  71|  30|  83|  11|Super Luck  | -          |MID |
 67|MACHOKE      |ELECTRIC/DRAGON  | 107|  10|  13|  51|  27|  10|Tangled Feet|Solid Rock  |BASE|
 68|MACHAMP      |FIRE             |  97|  91|  97| 106|  17|  80|Hustle      |Rough Skin  |FULL|Growth Mulch (rare)
 69|BELLSPROUT   |ROCK/BUG         |  29| 152| 112|  91|  13|  37|Plus        |Reckless    |BASE|
 70|WEEPINBELL   |POISON           |  60| 102|  26|  76|  98|  89|Honey Gather|Guts        |MID |
 71|VICTREEBEL   |WATER/ELECTRIC   |  67|  39|  96|  87|  59| 107|Blaze       |Anger Point |FULL|Black Flute (rare)
 72|TENTACOOL    |FLYING           | 104| 123| 104|  10|  10|  59|Sand Veil   | -          |MID |
 73|TENTACRUEL   |FIRE/DARK        | 200|  27|  41|  16|  43| 118|Color Change| -          |FULL|
 74|GEODUDE      |STEEL/GHOST      |  96|  73|  89|  61|  75|  38|Honey Gather|Serene Grace|MID |Wise Glasses (common), Rock Incense (rare)
 75|GRAVELER     |GROUND/ICE       |  97|  14|  90|  62|  56|  62|Scrappy     |Solar Power |MID |
 76|GOLEM        |DRAGON/GROUND    |  49| 111|  80|  36|  58| 133|Snow Cloak  |Shed Skin   |FULL|Thick Club (rare)
 77|PONYTA       |NORMAL/BUG       |  20|  10|  77|  39|  74|  84|Levitate    |Magic Guard |BASE|
 78|RAPIDASH     |ICE/FIRE         |  69|  41|  90| 143| 101|  28|Water Absorb| -          |FULL|
 79|SLOWPOKE     |FLYING/ROCK      |  20|  22|  10|  10|  68|  86|Volt Absorb | -          |BASE|
 80|SLOWBRO      |ELECTRIC         |  79|  77| 130|  77|  39| 155|Ice Body    | -          |FULL|TM68 (100%)
 81|MAGNEMITE    |ICE/DRAGON       |  20|  85|  63| 109|  31|  33|Steadfast   |Plus        |MID |Lagging Tail (rare)
 82|MAGNETON     |DARK             |  74| 103| 118|  83|  98|  12|Water Absorb| -          |MID |Petaya Berry (common), TM40 (rare)
 83|FARFETCH’D   |BUG              |  79| 126|  73| 104|  92|  64|Aftermath   |Damp        |FULL|Dawn Stone (common)
 84|DODUO        |GRASS/PSYCHIC    | 144| 108|  67|  14|  17|  80|Serene Grace| -          |MID |
 85|DODRIO       |FIRE             | 106|  47|  68|  37| 251|  69|Overgrow    | -          |FULL|Master Ball (rare)
 86|SEEL         |FIGHTING         |  37|  53|  52|  73|  70|  75|Early Bird  | -          |BASE|
 87|DEWGONG      |FIRE             |  33|  60|  47| 118|  66|  92|Skill Link  |Frisk       |FULL|Max Revive (rare)
 88|GRIMER       |BUG              |  54|  14|  79|  41|  51|  28|Storm Drain | -          |BASE|Dragon Fang (common)
 89|MUK          |GROUND/STEEL     | 148|  19|  81|  83|  80|  55|Static      | -          |FULL|
 90|SHELLDER     |DRAGON/DARK      |  91|  17|  81|  36| 103|  14|Own Tempo   | -          |MID |
 91|CLOYSTER     |POISON           | 141|  16| 152|  88|  86|  67|Iron Fist   | -          |FULL|
 92|GASTLY       |ELECTRIC         |  20| 162| 116| 159|  14|  12|Keen Eye    | -          |MID |Micle Berry (rare)
 93|HAUNTER      |FIRE             |  60| 101|  52|  24| 145|  24|Poison Point| -          |BASE|TM39 (rare)
 94|GENGAR       |FIGHTING/GHOST   |  89|  52|  96|  64|  38|  76|Rivalry     |Unburden    |FULL|
 95|ONIX         |BUG/PSYCHIC      |  58|  54|  15|  76|  10|  32|Skill Link  | -          |BASE|Dire Hit (rare)
 96|DROWZEE      |ICE              |  93|  54|  77|  96|  79|  23|Rivalry     | -          |MID |
 97|HYPNO        |BUG/GRASS        | 154| 126|  17|  16|  70| 119|Swarm       | -          |FULL|Moon Stone (common)
 98|KRABBY       |ROCK             |  48|  51|  94|  89|  13|  88|Cute Charm  |Frisk       |MID |TM78 (common)
 99|KINGLER      |FIRE             |  56| 103|  77|  57| 108|  32|Speed Boost | -          |FULL|
100|VOLTORB      |PSYCHIC/GROUND   |  67|  85|  55|  10|  71|  13|Shadow Tag  |Anger Point |MID |
101|ELECTRODE    |DRAGON/ICE       |  76|  93|  96|  29|  89|  66|Swarm       | -          |FULL|TM87 (rare)
102|EXEGGCUTE    |ELECTRIC/WATER   |  72| 126|  11|  54|  21|  32|Sturdy      | -          |BASE|
103|EXEGGUTOR    |FIRE/ROCK        | 179| 137|  49|  23|  23|  98|Bad Dreams  |Vital Spirit|FULL|Aspear Berry (common), Root Fossil (rare)
104|CUBONE       |DRAGON/DARK      |  86|  37|  31|  72| 101|  67|Filter      |Download    |BASE|
105|MAROWAK      |GRASS/DRAGON     |  86|  92| 107|  86|  17| 130|Liquid Ooze |Mold Breaker|FULL|
106|HITMONLEE    |DARK/NORMAL      | 115|  27| 120|  93| 123|  69|Cloud Nine  | -          |FULL|
107|HITMONCHAN   |ROCK/DARK        | 128|  63|  65|  22|  85|  59|Flash Fire  | -          |FULL|
108|LICKITUNG    |GRASS/FIRE       |  37|  76|  32|  75|  95| 115|Steadfast   | -          |BASE|TM19 (rare)
109|KOFFING      |GRASS            |  90| 115|  78|  86| 101|  43|Hustle      |Skill Link  |MID |
110|WEEZING      |GROUND/FLYING    | 221| 100|  19| 150|  40|  42|Technician  | -          |FULL|
111|RHYHORN      |FLYING           |  22|  10|  71|  76|  78|  78|Hustle      | -          |MID |
112|RHYDON       |FIRE/GHOST       |  47|  42|  76|  22|  10|  11|Magnet Pull |Inner Focus |BASE|Poké Doll (common)
113|CHANSEY      |DARK             |  24|  37|  41|  51|  46|  58|Suction Cups|Water Veil  |BASE|Figy Berry (common)
114|TANGELA      |GROUND           |  20|  41|  62|  82|  27|  76|Rough Skin  | -          |MID |
115|KANGASKHAN   |FIGHTING/ICE     |  90|  89|  78|  41|  26|  87|Hyper Cutter| -          |FULL|Kebia Berry (common)
116|HORSEA       |ICE              |  83|  16|  41|  86|  60|  85|Unburden    |Tangled Feet|BASE|
117|SEADRA       |WATER            |  25|  13|  23|  42|  52|  36|Snow Warning|Cloud Nine  |BASE|
118|GOLDEEN      |POISON           |  82|  60|  94|  12|  52|  96|Run Away    | -          |BASE|Apicot Berry (common), Earth Plate (rare)
119|SEAKING      |DARK/PSYCHIC     | 115| 113|  63|  67|  76| 101|Liquid Ooze | -          |FULL|
120|STARYU       |GHOST/ELECTRIC   |  65|  58|  55|  13|  67|  37|Technician  |Rock Head   |BASE|Carbos (common), Pure Incense (rare)
121|STARMIE      |BUG/ROCK         | 186|  30| 112| 192| 178|  21|Technician  | -          |FULL|Armor Fossil (100%)
122|MR. MIME     |GHOST/FIGHTING   |  85|  73| 148|  13|  51|  94|Drought     | -          |FULL|
123|SCYTHER      |WATER/NORMAL     |  57| 118|  15|  54|  25| 122|Quick Feet  |Plus        |BASE|Magost Berry (rare)
124|JYNX         |GHOST            | 118|  52| 109|  27| 114|  61|Pickup      |Flame Body  |FULL|TM83 (100%)
125|ELECTABUZZ   |PSYCHIC/ROCK     |  60|  47|  47|  43|  60|  21|Illuminate  | -          |MID |Skull Fossil (common), TM58 (rare)
126|MAGMAR       |FIGHTING         |  30|  77|  82|  59|  15|  65|Quick Feet  |Insomnia    |BASE|Iron Ball (rare)
127|PINSIR       |FIGHTING/ELECTRIC| 140|  15| 168|  16|  67| 142|Stall       |Color Change|FULL|
128|TAUROS       |DRAGON/ICE       |  75| 108|  59|  80|  96|  50|Gluttony    |Sniper      |FULL|
129|MAGIKARP     |GROUND/DRAGON    | 113|  69| 105|  28|  13|  10|Poison Point| -          |MID |
130|GYARADOS     |POISON/BUG       |  83|  56|  89|  92|  58|  77|Serene Grace| -          |FULL|
131|LAPRAS       |GHOST/BUG        |  56| 122|  50|  95|  83|  81|Poison Point| -          |FULL|Payapa Berry (common), Charti Berry (rare)
132|DITTO        |FLYING/STEEL     |  20| 158|  26| 167|  87|  48|Iron Fist   | -          |FULL|
133|EEVEE        |GRASS            |  60|  43|  10|  10|  63|  47|Hydration   |Solar Power |BASE|
134|VAPOREON     |GROUND/NORMAL    |  75|  94|  39|  77| 142|  66|Unaware     |Battle Armor|FULL|TM88 (rare)
135|JOLTEON      |FLYING           | 202|  89|  53|  52|  79|  35|Unburden    | -          |FULL|Blue Scarf (rare)
136|FLAREON      |WATER/DARK       |  92|  93|  42|  36|  66| 107|Trace       | -          |FULL|
137|PORYGON      |WATER/STEEL      | 139|  20|  60|  30|  54| 174|Snow Warning| -          |BASE|
138|OMANYTE      |GRASS            |  20|  13|  23|  82|  95|  91|Simple      |Slow Start  |BASE|TM82 (common), Cornn Berry (rare)
139|OMASTAR      |POISON/PSYCHIC   |  77| 114|  83|  90| 146|  93|Swarm       | -          |FULL|Lustrous Orb (common)
140|KABUTO       |FLYING           |  46|  47|  36|  33|  39|  30|Rough Skin  |Normalize   |BASE|Calcium (rare)
141|KABUTOPS     |FIRE/BUG         |  51|  63| 127|  13|  21| 146|Effect Spore|Plus        |FULL|TM63 (common), Choice Specs (rare)
142|AERODACTYL   |ROCK             |  75|  49|  14| 122|  68| 119|Lightningrod| -          |FULL|
143|SNORLAX      |FIRE/FLYING      |  20| 127|  13|  10| 131| 131|Shadow Tag  |Water Veil  |FULL|Stone Plate (common), Parlyz Heal (rare)
144|ARTICUNO     |ROCK             |  51| 157| 135| 159|  32|  29|Slow Start  |Rain Dish   |FULL|
145|ZAPDOS       |ICE/DRAGON       |  74|  25| 109|  27|  95|  54|Synchronize |Gluttony    |FULL|Iron Plate (rare)
146|MOLTRES      |DRAGON/ICE       |  20|  49| 179|  22|  84| 126|Shell Armor |Chlorophyll |FULL|TM12 (rare)
147|DRATINI      |GROUND           |  67|  58|  96|  44|  58|  67|Thick Fat   | -          |MID |
148|DRAGONAIR    |POISON           |  54|  22|  57|  24|  67|  83|Limber      |Poison Point|BASE|
149|DRAGONITE    |STEEL            | 130| 135|  84|  23|  21|  83|Honey Gather| -          |FULL|Dubious Disc (rare)
150|MEWTWO       |BUG/GRASS        |  27| 138|  15| 144| 156|  90|Klutz       | -          |FULL|
151|MEW          |FIRE             | 121| 111|  48|  60|  23|  98|Bad Dreams  | -          |FULL|Charcoal (100%)
152|CHIKORITA    |FIRE             |  39|  13|  60|  49|  52|  17|Insomnia    |Thick Fat   |BASE|Lagging Tail (100%)
153|BAYLEEF      |ELECTRIC         |  42|  61|  55|  33|  10|  33|Technician  | -          |BASE|
154|MEGANIUM     |DRAGON           |  30| 127|  50| 103|  29| 105|Chlorophyll | -          |FULL|Lum Berry (common), Starf Berry (rare)
155|CYNDAQUIL    |POISON/FIRE      |  82|  42| 103|  52|  44|  28|Rain Dish   |Drought     |BASE|Power Band (rare)
156|QUILAVA      |PSYCHIC          |  49|  83|  52|  92|  49|  50|Rock Head   |Filter      |BASE|
157|TYPHLOSION   |FIGHTING         | 166|  38|  15| 185| 129|  15|Static      |Filter      |FULL|Stone Plate (common), Flame Mail (rare)
158|TOTODILE     |PSYCHIC/DARK     |  84|  17|  74|  10|  10|  35|Run Away    | -          |BASE|
