Randomizer Version: 4.4.0
Random Seed: 89045239238659
Settings String: 318WRIEEgKXAJoAnQCRAAKeBnsECQEAFAACCQAuEgAAAAAADBCI5ATkQYYICTIGBQIyAAUVUG9rZW1vbiBIZWFydEdvbGQgKFUpgH3a3ePDOIo=

--Randomized Evolutions--
BULBASAUR       -> BAYLEEF        
HAUNTER         -> VENUSAUR       
ONIX            -> PROBOPASS      
DROWZEE         -> STARMIE        
KRABBY          -> WHISCASH       
VOLTORB         -> MAGNETON       
EXEGGCUTE       -> GRUMPIG        
CUBONE          -> DUGTRIO        
LICKITUNG       -> URSARING       
KOFFING         -> SKUNTANK       
RHYHORN         -> FLYGON         
RHYDON          -> RAMPARDOS      
CHANSEY         -> PORYGON2       
TANGELA         -> CARNIVINE      
HORSEA          -> MANTINE        
SEADRA          -> GOLDUCK        
GOLDEEN         -> SEALEO         
STARYU          -> GASTRODON      
SCYTHER         -> HERACROSS      
ELECTABUZZ      -> ELECTRODE      
MAGMAR          -> CHARIZARD      
MAGIKARP        -> POLITOED       
EEVEE           -> VICTREEBEL, MAMOSWINE, ELECTABUZZ, SEAKING, RAPIDASH, GARDEVOIR and SPIRITOMB
PORYGON         -> TAUROS         
OMANYTE         -> BASTIODON      
KABUTO          -> WALREIN        
DRATINI         -> VIBRAVA        
DRAGONAIR       -> GARCHOMP       
CHIKORITA       -> NUZLEAF        
BAYLEEF         -> SCEPTILE       
CYNDAQUIL       -> MAGCARGO       
QUILAVA         -> BLAZIKEN       
TOTODILE        -> PRINPLUP       
CROCONAW        -> SLOWKING       
SENTRET         -> GRANBULL       
HOOTHOOT        -> LOPUNNY        
LEDYBA          -> TOGETIC        
SPINARAK        -> VOLBEAT        
CHINCHOU        -> HUNTAIL        
PICHU           -> ELECTRIKE      
CLEFFA          -> BUNEARY        
IGGLYBUFF       -> BIDOOF         
TOGEPI          -> RATICATE       
TOGETIC         -> GYARADOS       
NATU            -> MOTHIM         
MAREEP          -> LUXIO          
FLAAFFY         -> MANECTRIC      
MARILL          -> SEADRA         
HOPPIP          -> DELIBIRD       
SKIPLOOM        -> NOCTOWL        
AIPOM           -> STANTLER       
SUNKERN         -> GROTLE         
YANMA           -> GLISCOR        
WOOPER          -> WARTORTLE      
MURKROW         -> ABSOL          
MISDREAVUS      -> GENGAR         
PINECO          -> SCYTHER        
GLIGAR          -> SWAMPERT       
SNUBBULL        -> PIDGEOT        
SNEASEL         -> SHARPEDO       
TEDDIURSA       -> EXPLOUD        
SLUGMA          -> QUILAVA        
SWINUB          -> DEWGONG        
PILOSWINE       -> WEAVILE        
REMORAID        -> KINGDRA        
HOUNDOUR        -> SHIFTRY        
PHANPY          -> RHYPERIOR      
PORYGON2        -> AMBIPOM        
TYROGUE         -> BRELOOM, PRIMEAPE and MACHOKE
SMOOCHUM        -> BRONZONG       
ELEKID          -> LANTURN        
MAGBY           -> NINETALES      
LARVITAR        -> PILOSWINE      
PUPITAR         -> TORTERRA       
TREECKO         -> GLOOM          
GROVYLE         -> LEAFEON        
TORCHIC         -> MAGBY          
COMBUSKEN       -> LUCARIO        
MUDKIP          -> BIBAREL        
MARSHTOMP       -> NIDOQUEEN      
POOCHYENA       -> DRAPION        
ZIGZAGOON       -> PURUGLY        
WURMPLE         -> METAPOD and KRICKETOT
SILCOON         -> YANMA          
CASCOON         -> ANORITH        
LOTAD           -> LUVDISC        
LOMBRE          -> RELICANTH      
SEEDOT          -> EXEGGCUTE      
NUZLEAF         -> UMBREON        
TAILLOW         -> MURKROW        
WINGULL         -> CHATOT         
RALTS           -> BRONZOR        
KIRLIA          -> MR. MIME and METANG
SURSKIT         -> BEEDRILL       
SHROOMISH       -> CHERRIM        
SLAKOTH         -> PERSIAN        
VIGOROTH        -> BLISSEY        
NINCADA         -> VESPIQUEN and BARBOACH
WHISMUR         -> STARAVIA       
LOUDRED         -> CHANSEY        
MAKUHITA        -> HITMONLEE      
AZURILL         -> HOOTHOOT       
NOSEPASS        -> KABUTOPS       
SKITTY          -> SPINDA         
ARON            -> SKARMORY       
LAIRON          -> MAGNEZONE      
MEDITITE        -> MONFERNO       
ELECTRIKE       -> ROTOM          
ROSELIA         -> TROPIUS        
GULPIN          -> SEVIPER        
CARVANHA        -> QUAGSIRE       
WAILMER         -> MILOTIC        
NUMEL           -> RHYDON         
SPOINK          -> ALAKAZAM       
TRAPINCH        -> HIPPOPOTAS     
VIBRAVA         -> GOLEM          
CACNEA          -> BELLOSSOM      
SWABLU          -> DRIFBLIM       
BARBOACH        -> SANDSLASH      
CORPHISH        -> LUDICOLO       
BALTOY          -> ESPEON         
LILEEP          -> JUMPLUFF       
ANORITH         -> FORRETRESS     
FEEBAS          -> LAPRAS         
SHUPPET         -> DUSCLOPS       
DUSKULL         -> MISMAGIUS      
DUSCLOPS        -> MISDREAVUS     
WYNAUT          -> KADABRA        
SNORUNT         -> CLOYSTER and ABOMASNOW
SPHEAL          -> SNEASEL        
SEALEO          -> EMPOLEON       
CLAMPERL        -> CRAWDAUNT and VAPOREON
BAGON           -> ALTARIA        
SHELGON         -> DRAGONITE      
BELDUM          -> LAIRON         
METANG          -> AGGRON         
TURTWIG         -> WORMADAM       
GROTLE          -> EXEGGUTOR      
CHIMCHAR        -> PONYTA         
MONFERNO        -> MACHAMP        
PIPLUP          -> WAILMER        
PRINPLUP        -> POLIWRATH      
STARLY          -> EEVEE          
STARAVIA        -> KANGASKHAN     
BIDOOF          -> WIGGLYTUFF     
KRICKETOT       -> ILLUMISE       
SHINX           -> ELEKID         
LUXIO           -> JOLTEON        
BUDEW           -> SUNFLORA       
CRANIDOS        -> ARMALDO        
SHIELDON        -> SHUCKLE        
BURMY           -> MASQUERAIN and NINJASK
COMBEE          -> YANMEGA        
BUIZEL          -> AZUMARILL      
CHERUBI         -> GROVYLE        
SHELLOS         -> QWILFISH       
DRIFLOON        -> FROSLASS       
BUNEARY         -> VIGOROTH       
GLAMEOW         -> DUNSPARCE      
CHINGLING       -> GIRAFARIG      
STUNKY          -> CACTURNE       
BRONZOR         -> JYNX           
BONSLY          -> SOLROCK        
MIME JR.        -> LUNATONE       
HAPPINY         -> LINOONE        
GIBLE           -> MARSHTOMP      
GABITE          -> STEELIX        
MUNCHLAX        -> PORYGON-Z      
RIOLU           -> GALLADE        
HIPPOPOTAS      -> MAROWAK        
SKORUPI         -> CROBAT         
CROAGUNK        -> HITMONCHAN     
FINNEON         -> OCTILLERY      
MANTYKE         -> WAILORD        
SNOVER          -> TANGROWTH      

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR    |GRASS/POISON     |  49|  24| 117|  38|  78|  12|Rock Head   | -          |
  2|IVYSAUR      |GRASS/POISON     |  91|  30|  15| 141|  23| 106|Download    |Shell Armor |BrightPowder (common)
  3|VENUSAUR     |GRASS/POISON     |  69| 115|  40| 135| 136|  32|Stall       | -          |
  4|CHARMANDER   |FIRE             |  47|  69|  31|  74|  14|  75|Slow Start  | -          |Burn Heal (rare)
  5|CHARMELEON   |FIRE             |  67|  23|  72|  70|  65| 107|Pickup      |Thick Fat   |
  6|CHARIZARD    |FIRE/FLYING      | 114|  87| 103|  84|  92|  54|Rock Head   | -          |
  7|SQUIRTLE     |WATER            |  82|  46|  18|  64|  30|  73|Pure Power  |Early Bird  |
  8|WARTORTLE    |WATER            |  85|  29|  38| 101| 105|  48|Anger Point |Snow Warning|TM24 (rare)
  9|BLASTOISE    |WATER            |  78| 129| 129|  54|  33| 107|Snow Cloak  | -          |TM86 (common), TM04 (rare)
 10|CATERPIE     |BUG              |  29|  35|  34|  53|  14|  29|Magma Armor |Volt Absorb |Wise Glasses (common)
 11|METAPOD      |BUG              |  39|  15|  39|  34|  39|  40|Leaf Guard  |Solid Rock  |
 12|BUTTERFREE   |BUG/FLYING       | 120| 119|  28|  35|  59|  25|Synchronize | -          |TM10 (rare)
 13|WEEDLE       |BUG/POISON       |  24|  35|  27|  35|  36|  37|Trace       | -          |Soft Sand (common), TM73 (rare)
 14|KAKUNA       |BUG/POISON       |  31|  68|  40|  20|  30|  17|Rough Skin  |Honey Gather|TM83 (rare)
 15|BEEDRILL     |BUG/POISON       |  37|  14| 107|  51|  87|  89|Insomnia    |Water Absorb|TM36 (common)
 16|PIDGEY       |NORMAL/FLYING    |  26|  32|  38|  49|  71|  35|Pressure    | -          |
 17|PIDGEOTTO    |NORMAL/FLYING    |  74|  49|  59|  96|  32|  39|Soundproof  |Flash Fire  |
 18|PIDGEOT      |NORMAL/FLYING    | 141|  87|  12|  36| 109|  83|Leaf Guard  | -          |
 19|RATTATA      |NORMAL           |  24|  25|  31|  99|  34|  39|Liquid Ooze | -          |Poké Ball (100%)
 20|RATICATE     |NORMAL           |  94|  41|  88|  67|  14| 109|Keen Eye    | -          |
 21|SPEAROW      |NORMAL/FLYING    |  34|  12|  41|  68|  80|  27|Effect Spore| -          |
 22|FEAROW       |NORMAL/FLYING    |  80|  45|  98| 108|  18|  93|Drizzle     | -          |Shell Bell (rare)
 23|EKANS        |POISON           |  59|  78|  14|  22|  63|  53|Marvel Scale| -          |
 24|ARBOK        |POISON           |  51|  26|  92|  79| 101|  89|Motor Drive |Shield Dust |
 25|PIKACHU      |ELECTRIC         |  67|  34|  38|  37|  67|  57|Inner Focus |Suction Cups|
 26|RAICHU       |ELECTRIC         |  56|  92|  59|  52| 122|  94|Static      |Simple      |Honey (100%)
 27|SANDSHREW    |GROUND           |  71|  37|  65|  26|  31|  70|Adaptability|Sniper      |
 28|SANDSLASH    |GROUND           |  89|  30| 118|  47|  34| 131|Forewarn    | -          |
 29|NIDORAN♀     |POISON           |  46|  22|  67|  17|  68|  55|Suction Cups| -          |
 30|NIDORINA     |POISON           |  53|  44|  56|  71|  72|  70|Color Change| -          |Sacred Ash (common), Silk Scarf (rare)
 31|NIDOQUEEN    |POISON/GROUND    | 151|  17|  72| 117| 120|  18|Chlorophyll |Cute Charm  |Claw Fossil (rare)
 32|NIDORAN♂     |POISON           |  71|  36|  28|  25|  61|  52|Lightningrod| -          |TM23 (common), TM86 (rare)
 33|NIDORINO     |POISON           |  73|  71|  31|  91|  38|  60|Thick Fat   | -          |
 34|NIDOKING     |POISON/GROUND    | 114| 101|  74|  73|  91|  43|Keen Eye    |Normalize   |TM45 (rare)
 35|CLEFAIRY     |NORMAL           |  58|  15|  70|  18|  83|  79|Volt Absorb | -          |Pecha Berry (100%)
 36|CLEFABLE     |NORMAL           |  88|  64|  91|  83|  66|  81|Honey Gather|Stench      |
 37|VULPIX       |FIRE             |  31|  65|  73|  30|  37|  63|Run Away    |Speed Boost |Protector (common), Luxury Ball (rare)
 38|NINETALES    |FIRE             |  88| 111|  67|  94| 110|  34|Cute Charm  |Natural Cure|TM34 (100%)
 39|JIGGLYPUFF   |NORMAL           |  58|  17|  45|  31|  59|  61|Tinted Lens | -          |
 40|WIGGLYTUFF   |NORMAL           |  75|  36|  84|  59|  86|  86|Bad Dreams  | -          |
 41|ZUBAT        |POISON/FLYING    |  79|  29|  31|  18|  35|  53|Compoundeyes| -          |TM54 (common)
 42|GOLBAT       |POISON/FLYING    |  58|  11| 169| 135|  23|  59|Rain Dish   | -          |Power Anklet (common), Dome Fossil (rare)
 43|ODDISH       |GRASS/POISON     |  83|  52|  29|  49|  78|  29|Sticky Hold | -          |Lemonade (common)
 44|GLOOM        |GRASS/POISON     |  36|  66|  58|  98|  45|  93|Steadfast   |Iron Fist   |Full Heal (common), Aspear Berry (rare)
 45|VILEPLUME    |GRASS/POISON     |  76| 117|  81|  13|  79| 115|Damp        | -          |Yellow Flute (common), TM90 (rare)
 46|PARAS        |BUG/GRASS        |  57|  14|  73|  51|  24|  67|Shell Armor |Inner Focus |TM68 (common), TM03 (rare)
 47|PARASECT     |BUG/GRASS        |  69|  34|  57| 115|  98|  32|Volt Absorb |Magic Guard |Super Potion (100%)
 48|VENONAT      |BUG/POISON       |  88|  15|  80|  15|  39|  68|Stall       |Quick Feet  |
 49|VENOMOTH     |BUG/POISON       | 136| 102|  79|  14|  61|  57|Flash Fire  | -          |
 50|DIGLETT      |GROUND           |  87|  61|  15|  28|  25|  49|No Guard    |Pickup      |Sky Plate (common), TM37 (rare)
 51|DUGTRIO      |GROUND           | 103|  74|  37|  35|  80|  76|Levitate    |Oblivious   |
 52|MEOWTH       |NORMAL           |  35|  41|  46|  16|  74|  78|Shed Skin   | -          |Premier Ball (rare)
 53|PERSIAN      |NORMAL           | 113| 103|  75|  92|  38|  18|Serene Grace|Reckless    |Dawn Stone (common)
 54|PSYDUCK      |WATER            |  27| 126|  75|  17|  26|  49|Lightningrod| -          |TM25 (common)
 55|GOLDUCK      |WATER            |  33| 132|  69| 178|  29|  60|Drought     |Volt Absorb |Blue Flute (common), Energy Root (rare)
 56|MANKEY       |FIGHTING         |  80|  60|  19|  79|  52|  16|Technician  |Pressure    |TM01 (100%)
 57|PRIMEAPE     |FIGHTING         |  65|  61|  50|  72| 126|  81|Stench      |Snow Cloak  |
 58|GROWLITHE    |FIRE             |  53|  49|  78|  72|  42|  56|Dry Skin    | -          |Repeat Ball (100%)
 59|ARCANINE     |FIRE             |  35|  41| 142| 111| 108| 118|Slow Start  | -          |Shell Bell (100%)
 60|POLIWAG      |WATER            |  26|  63|  52|  51|  44|  64|Truant      | -          |TM88 (common), Leaf Stone (rare)
 61|POLIWHIRL    |WATER            | 109|  48|  32|  86|  27|  83|Forewarn    |Speed Boost |Ice Heal (100%)
 62|POLIWRATH    |WATER/FIGHTING   | 170|  92|  29|  15|  53| 142|Pickup      | -          |TM52 (100%)
 63|ABRA         |PSYCHIC          |  64|  42|  43|  72|  68|  21|Adaptability| -          |Icicle Plate (common), TM70 (rare)
 64|KADABRA      |PSYCHIC          |  50|  74|  54|  86|  84|  52|Anticipation|Tinted Lens |
 65|ALAKAZAM     |PSYCHIC          | 133|  34|  86|  11| 114| 114|Pure Power  |Water Absorb|TM17 (rare)
 66|MACHOP       |FIGHTING         |  76|  13|  58|  33|  75|  50|Guts        | -          |Power Weight (rare)
 67|MACHOKE      |FIGHTING         |  52| 100|  23|  57|  91|  83|Normalize   | -          |
 68|MACHAMP      |FIGHTING         | 168|  21| 166|  72|  63|  15|Sniper      | -          |White Herb (common), Metal Coat (rare)
 69|BELLSPROUT   |GRASS/POISON     |  68|  38|  35|  67|  58|  34|Damp        |Sticky Hold |X Attack (rare)
 70|WEEPINBELL   |GRASS/POISON     |  67|  83|  54|  47|  56|  84|Aftermath   | -          |
 71|VICTREEBEL   |GRASS/POISON     |  65|  23|  97| 116| 100|  79|Technician  | -          |
 72|TENTACOOL    |WATER/POISON     |  54|  54|  43|  60|  61|  63|Chlorophyll | -          |Mind Plate (common)
 73|TENTACRUEL   |WATER/POISON     |  71|  11|  69| 140| 110| 114|Volt Absorb | -          |TM51 (common)
 74|GEODUDE      |ROCK/GROUND      | 125|  11|  25|  67|  58|  14|Sturdy      |Forewarn    |Dusk Ball (common), TM23 (rare)
 75|GRAVELER     |ROCK/GROUND      |  47|  38|  60|  42| 103|  99|Thick Fat   |Shell Armor |
 76|GOLEM        |ROCK/GROUND      | 155| 148|  53|  65|  28|  36|Volt Absorb | -          |TM14 (100%)
 77|PONYTA       |FIRE             |  59|  92|  33|  50|  61| 114|Flame Body  |Slow Start  |Choice Specs (rare)
 78|RAPIDASH     |FIRE             | 155|  13| 112|  98|  38|  84|Poison Heal | -          |
 79|SLOWPOKE     |WATER/PSYCHIC    |  69|  64|  18|  63|  53|  48|Thick Fat   |Suction Cups|
 80|SLOWBRO      |WATER/PSYCHIC    | 137|  57|  20|  15| 170|  91|Iron Fist   | -          |
 81|MAGNEMITE    |ELECTRIC/STEEL   |  71|  75|  61|  39|  32|  47|Mold Breaker|Intimidate  |
 82|MAGNETON     |ELECTRIC/STEEL   |  21|  78| 153| 147|  31|  36|Hyper Cutter|Pressure    |
 83|FARFETCH’D   |NORMAL/FLYING    |  85|  54|  20|  39|  84|  69|Poison Heal |Drizzle     |X Speed (rare)
 84|DODUO        |NORMAL/FLYING    |  33|  85|  77|  66|  31|  18|Rain Dish   |Solar Power |Reaper Cloth (common)
 85|DODRIO       |NORMAL/FLYING    | 127| 104|  74|  43|  77|  34|Unburden    |Scrappy     |Wave Incense (common)
 86|SEEL         |WATER            |  57|  73|  14|  42|  74|  64|Hyper Cutter|Poison Point|
 87|DEWGONG      |WATER/ICE        | 126|  12| 157|  56|  66|  57|Unburden    |Effect Spore|
 88|GRIMER       |POISON           |  47|  11|  15|  63|  60| 129|Early Bird  |Swarm       |
 89|MUK          |POISON           |  24| 121| 114|  73|  94|  75|Anticipation|Snow Warning|
 90|SHELLDER     |WATER            |  25| 102|  35|  28|  89|  26|Swarm       | -          |X Sp. Def (common)
 91|CLOYSTER     |WATER/ICE        | 108|  49| 119|  20|  80| 149|Stench      |Natural Cure|Meadow Plate (common), Black Flute (rare)
 92|GASTLY       |GHOST/POISON     |  87|  56|  19|  79|  46|  23|Limber      | -          |
 93|HAUNTER      |GHOST/POISON     |  57|  44| 108|  13|  71| 111|Magma Armor |Drought     |
 94|GENGAR       |GHOST/POISON     | 145| 144|  69|  73|  51|  19|Tangled Feet| -          |
 95|ONIX         |ROCK/GROUND      | 101|  80|  18|  42|  39| 105|Scrappy     |Anticipation|
 96|DROWZEE      |PSYCHIC          |  50|  28|  35|  48|  82|  85|Hyper Cutter|Reckless    |TM21 (common), Armor Fossil (rare)
 97|HYPNO        |PSYCHIC          | 115|  90| 105|  43|  40|  89|Soundproof  |Leaf Guard  |
 98|KRABBY       |WATER            |  22|  41| 126|  30|  38|  68|Solid Rock  | -          |
 99|KINGLER      |WATER            | 119| 103| 116|  53|  16|  68|Unaware     |Quick Feet  |Sea Incense (rare)
100|VOLTORB      |ELECTRIC         |  77|  81|  70|  24|  50|  27|Soundproof  | -          |TM47 (rare)
101|ELECTRODE    |ELECTRIC         |  44|  66|  46|  89| 134| 101|Quick Feet  |Tinted Lens |
102|EXEGGCUTE    |GRASS/PSYCHIC    |  37|  53|  86|  32|  75|  42|Stench      | -          |Aspear Berry (100%)
103|EXEGGUTOR    |GRASS/PSYCHIC    |  82| 201|  69|  15| 104|  49|Steadfast   | -          |
104|CUBONE       |GROUND           |  81|  16|  76|  58|  50|  40|Shield Dust | -          |
105|MAROWAK      |GROUND           |  29|  84|  28|  57| 121| 106|Natural Cure| -          |Shiny Stone (rare)
106|HITMONLEE    |FIGHTING         |  34| 137|  96|  20|  85|  83|Leaf Guard  | -          |Destiny Knot (common), TM59 (rare)
107|HITMONCHAN   |FIGHTING         |  71|  94|  52| 115|  46|  77|Stench      |Simple      |
108|LICKITUNG    |NORMAL           |  29|  29| 102|  66|  54| 105|Keen Eye    | -          |
109|KOFFING      |POISON           |  36|  59| 108|  39|  61|  37|Slow Start  |Shield Dust |
110|WEEZING      |POISON           |  47|  88| 129|  45|  81| 100|Poison Heal |Poison Point|
111|RHYHORN      |GROUND/ROCK      |  46|  73|  14|  49|  93|  70|Illuminate  |Solar Power |
112|RHYDON       |GROUND/ROCK      | 186|  93|  89|  41|  12|  63|Synchronize |Rivalry     |
113|CHANSEY      |NORMAL           |  40|  29|  13| 221|  73|  74|Static      | -          |Red Shard (100%)
114|TANGELA      |GRASS            | 131|  15|  52| 113|  34|  91|Skill Link  | -          |Premier Ball (rare)
115|KANGASKHAN   |NORMAL           | 154| 148|  19|  69|  56|  44|Air Lock    | -          |Power Lens (rare)
116|HORSEA       |WATER            |  76| 100|  39|  22|  21|  37|Shield Dust | -          |
117|SEADRA       |WATER            |  93| 103|  12|  96|  52|  85|Soundproof  |Poison Point|
118|GOLDEEN      |WATER            |  61|  56|  86|  56|  37|  24|Tinted Lens |Drought     |
119|SEAKING      |WATER            | 125|  51|  33|  65| 129|  47|Sand Stream |Forewarn    |
120|STARYU       |WATER            |  27|  93|  56|  86|  31|  47|Rock Head   |Lightningrod|
121|STARMIE      |WATER/PSYCHIC    |  68|  77|  67| 107|  88| 114|Liquid Ooze | -          |Power Belt (rare)
122|MR. MIME     |PSYCHIC          | 111|  97| 100| 110|  24|  18|Bad Dreams  |Limber      |TM18 (rare)
123|SCYTHER      |BUG/FLYING       | 102| 100|  97|  33|  76|  91|Limber      | -          |
124|JYNX         |ICE/PSYCHIC      |  62|  94|  24| 114|  85|  76|Technician  |Anticipation|TM44 (100%)
125|ELECTABUZZ   |ELECTRIC         |  77|  60|  45|  84| 212|  11|Download    |Thick Fat   |TM01 (common), Max Ether (rare)
126|MAGMAR       |FIRE             | 102|  19| 103|  92|  62| 117|Pressure    |Thick Fat   |TM92 (rare)
127|PINSIR       |BUG              | 141| 129|  70|  47|  99|  13|Forewarn    | -          |
128|TAUROS       |NORMAL           |  66|  75|  83|  84|  93|  88|Limber      | -          |Power Band (common)
129|MAGIKARP     |WATER            |  30|  56|  13|  19|  56|  27|Cloud Nine  |Truant      |Pure Incense (common)
130|GYARADOS     |WATER/FLYING     |  83|  35| 118|  66| 113| 125|Pressure    | -          |Revival Herb (common)
131|LAPRAS       |WATER/ICE        |  41| 160|  49| 154|  40|  91|Sand Stream |Early Bird  |Persim Berry (common), Sharp Beak (rare)
132|DITTO        |NORMAL           |  29|  17|  64|  92|  16|  69|Speed Boost | -          |Draco Plate (rare)
133|EEVEE        |NORMAL           |  44| 130|  32|  75|  26|  18|Technician  | -          |Zinc (100%)
134|VAPOREON     |WATER            |  31|  22|  26| 204| 172|  71|Torrent     |Tangled Feet|Shiny Stone (common)
135|JOLTEON      |ELECTRIC         |  76|  24| 138| 100| 149|  38|Shield Dust | -          |
136|FLAREON      |FIRE             | 132| 119|  39|  71|  46| 119|Color Change|Slow Start  |Electirizer (rare)
137|PORYGON      |NORMAL           |  27|  36| 136|  57|  70|  70|No Guard    |Super Luck  |Honey (rare)
138|OMANYTE      |ROCK/WATER       |  42|  57|  79|  64|  31|  81|Lightningrod|Steadfast   |
139|OMASTAR      |ROCK/WATER       | 110|  67| 121|  96|  83|  18|Shed Skin   |Bad Dreams  |Light Clay (common)
140|KABUTO       |ROCK/WATER       |  35|  98|  68|  90|  12|  52|Stench      | -          |X Accuracy (common), Rare Bone (rare)
141|KABUTOPS     |ROCK/WATER       |  29| 112| 103|  95|  84|  72|Truant      | -          |
142|AERODACTYL   |ROCK/FLYING      | 149| 102| 142|  34|  26|  61|Iron Fist   | -          |
143|SNORLAX      |NORMAL           | 134| 143|  98| 121|  17|  27|Scrappy     |Dry Skin    |TM73 (100%)
144|ARTICUNO     |ICE/FLYING       |  71|  99|  88|  52| 150| 120|Klutz       |Damp        |Blue Flute (common), Super Potion (rare)
145|ZAPDOS       |ELECTRIC/FLYING  | 140| 172|  36|  17|  80| 136|Serene Grace| -          |TM79 (common), Expert Belt (rare)
146|MOLTRES      |FIRE/FLYING      | 154|  16|  69|  95| 129| 117|Unaware     | -          |
147|DRATINI      |DRAGON           |  76|  64|  24|  62|  51|  24|Snow Cloak  |Cute Charm  |
148|DRAGONAIR    |DRAGON           |  49|  89|  29| 108| 110|  36|Natural Cure| -          |
149|DRAGONITE    |DRAGON/FLYING    |  59|  73|  68| 165| 108| 128|Hyper Cutter|Mold Breaker|TM14 (common)
150|MEWTWO       |PSYCHIC          | 166| 100| 129|  72| 109| 105|Storm Drain |Ice Body    |
151|MEW          |PSYCHIC          |  83|  82|  95|  64| 122| 155|Plus        | -          |TM18 (100%)
152|CHIKORITA    |GRASS            |  26| 127|  25|  59|  46|  34|Sniper      | -          |
153|BAYLEEF      |GRASS            |  88|  37|  61|  67|  52| 100|Iron Fist   |Huge Power  |TM05 (common), Fire Stone (rare)
154|MEGANIUM     |GRASS            | 128|  81|  34| 145|  74|  64|Shed Skin   |Leaf Guard  |
155|CYNDAQUIL    |FIRE             |  72|  50|  48|  55|  15|  69|Rough Skin  |Speed Boost |Full Heal (rare)
156|QUILAVA      |FIRE             |  65|  32|  48|  85|  95|  80|Tangled Feet|Plus        |TM11 (common), Poké Doll (rare)
157|TYPHLOSION   |FIRE             |  67|  32| 140| 106|  30| 160|Poison Point|Storm Drain |
158|TOTODILE     |WATER            |  30|  92|  58|  48|  17|  70|Download    | -          |TM58 (common), Stardust (rare)
159|CROCONAW     |WATER            |  66|  25|  88|  72|  63|  90|Sand Veil   | -          |
160|FERALIGATR   |WATER            |  44|  76| 107|  55| 169|  79|Heatproof   | -          |
161|SENTRET      |NORMAL           |  24|  44|  45|  21|  38|  42|Magma Armor | -          |
162|FURRET       |NORMAL           |  92|  16| 108|  88|  44|  68|Thick Fat   |Adaptability|Up-Grade (common), Big Pearl (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  94|  34|  35|  29|  43|  26|Marvel Scale|Run Away    |
164|NOCTOWL      |NORMAL/FLYING    |  97|  46|  39|  94|  86|  80|Slow Start  | -          |
165|LEDYBA       |BUG/FLYING       |  85|  15|  20|  26|  65|  54|Solid Rock  | -          |Icy Rock (rare)
166|LEDIAN       |BUG/FLYING       |  37| 120|  68|  36| 108|  22|Swarm       | -          |Magnet (common), Fire Stone (rare)
167|SPINARAK     |BUG/POISON       |  45|  38|  58|  62|  12|  34|Shield Dust |Water Veil  |
168|ARIADOS      |BUG/POISON       |  96|  36| 194|  14|  11|  39|Sniper      |Oblivious   |
169|CROBAT       |POISON/FLYING    | 122| 103|  21|  93| 105|  91|Cute Charm  | -          |Lagging Tail (common)
