Randomizer Version: 4.5.1-HAL
Random Seed: 267551420360210
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> CRESSELIA      
 32|NIDORAN♂     |BUG/ELECTRIC     |  20|  74|  43|  31| 115|  22|Frisk       |Filter      |BASE|
 33|NIDORINO     |DARK             |  65|  62|  88|  54|  46|  38|Tinted Lens |Magma Armor |BASE|Kelpsy Berry (common), TM44 (rare)
 34|NIDOKING     |PSYCHIC          |  60|  73| 118| 113| 115|  63|Serene Grace|Reckless    |FULL|Blue Shard (100%)
 35|CLEFAIRY     |DRAGON           |  57|  21|  74|  43|  68|  59|Unaware     |Dry Skin    |BASE|
 36|CLEFABLE     |BUG              | 150|  14|  61| 162| 111| 105|Intimidate  | -          |FULL|
 37|VULPIX       |FLYING/ROCK      |  37| 103|  41|  18|  72|  15|Damp        | -          |BASE|Cherish Ball (100%)
 38|NINETALES    |BUG              | 109|  36| 135|  98| 104| 160|Clear Body  |Shell Armor |FULL|X Defend (100%)
 39|JIGGLYPUFF   |POISON/DARK      |  69|  13|  95|  15|  44|  38|Scrappy     | -          |MID |
 40|WIGGLYTUFF   |ICE              |  41|  47|  42|  97| 110|  69|Shed Skin   |Klutz       |FULL|TM55 (common)
 41|ZUBAT        |ELECTRIC/GROUND  |  20|  63|  30|  81|  70|  79|Huge Power  | -          |BASE|TM23 (common)
 42|GOLBAT       |FIRE/FIGHTING    |  50|  37|  45|  63|  39|  28|Iron Fist   | -          |BASE|Payapa Berry (rare)
 43|ODDISH       |ELECTRIC         |  99|  19| 101|  84| 106| 116|Quick Feet  | -          |BASE|Snow Mail (rare)
 44|GLOOM        |POISON/FIGHTING  |  51|  72|  60|  58|  84|  47|Soundproof  |Plus        |MID |
 45|VILEPLUME    |WATER            |  95| 138|  89|  73|  81|  82|Run Away    |Dry Skin    |FULL|Parlyz Heal (rare)
 46|PARAS        |BUG              |  20|  73|  55|  50|  40|  63|Arena Trap  |Snow Cloak  |BASE|TM10 (common), TM68 (rare)
 47|PARASECT     |GRASS            | 124|  76|  90| 149|  21| 156|Dry Skin    | -          |FULL|Fire Stone (100%)
 48|VENONAT      |GROUND/ROCK      |  79| 123| 119|  43|  56|  15|Rain Dish   |Marvel Scale|BASE|Leaf Stone (rare)
 49|VENOMOTH     |FLYING/PSYCHIC   | 144| 216|  26|  76| 110|  82|Reckless    | -          |FULL|
 50|DIGLETT      |GRASS/FIRE       |  72|  80| 101|  25|  26|  84|Battle Armor|Sand Stream |MID |Ice Heal (common), Yache Berry (rare)
 51|DUGTRIO      |ROCK             | 141|  57| 102|  78| 140|  71|Sticky Hold | -          |FULL|Max Repel (common), Adamant Orb (rare)
 52|MEOWTH       |FLYING           |  96|  10|  18|  14|  78|  11|Shield Dust | -          |BASE|Repeat Ball (common), TM46 (rare)
 53|PERSIAN      |BUG/WATER        |  22| 167|  22| 153| 164|  71|Arena Trap  |Snow Cloak  |FULL|
 54|PSYDUCK      |FLYING           |  68| 112|  66|  72|  78|  63|Sand Stream |Static      |MID |
 55|GOLDUCK      |DARK             |  55| 103|  57| 103|  90|  93|Early Bird  |Water Veil  |FULL|
 56|MANKEY       |NORMAL           |  43|  69|  80| 117|  19|  79|Oblivious   | -          |MID |Mosaic Mail (common), Cornn Berry (rare)
 57|PRIMEAPE     |FLYING/POISON    |  92| 110|  38|  75|  29| 100|Effect Spore|Ice Body    |FULL|
 58|GROWLITHE    |PSYCHIC/NORMAL   |  41|  10|  51|  39|  53|  51|Stall       | -          |BASE|Yache Berry (100%)
 59|ARCANINE     |GRASS            |  94|  38|  54|  96|  96| 100|Heatproof   | -          |FULL|Iron Ball (100%)
 60|POLIWAG      |ROCK/DARK        |  58|  68|  76| 101|  58|  21|Aftermath   | -          |MID |
 61|POLIWHIRL    |DARK/ROCK        | 113|  11|  61|  52|  94|  12|Cute Charm  |Color Change|BASE|TM52 (common), Steel Mail (rare)
 62|POLIWRATH    |DARK/STEEL       | 134| 134| 131|  69|  10| 122|Snow Cloak  | -          |FULL|Water Stone (rare)
 63|ABRA         |FLYING           |  78|  25|  34|  10|  41|  34|Unburden    |Super Luck  |BASE|
 64|KADABRA      |STEEL/GHOST      | 101|  44| 154|  12| 141|  55|Run Away    |Tangled Feet|MID |
 65|ALAKAZAM     |GHOST            |  21|  44| 215|  16|  85|  15|Tinted Lens |Effect Spore|FULL|Power Herb (100%)
 66|MACHOP       |GRASS            |  20|  24|  43| 149|  25|  35|Aftermath   | -          |BASE|TinyMushroom (rare)
 67|MACHOKE      |GRASS            |  80|  86|  72|  65|  73|  67|Simple      | -          |BASE|
 68|MACHAMP      |ROCK/FIGHTING    | 168|  12| 148|  15|  12| 160|Intimidate  | -          |FULL|
 69|BELLSPROUT   |ICE/NORMAL       |  20| 128|  12|  52| 140|  23|Aftermath   |Heatproof   |MID |TM85 (common)
 70|WEEPINBELL   |BUG/GROUND       |  54|  48|  48|  52|  57|  51|Trace       | -          |BASE|TM30 (common)
 71|VICTREEBEL   |FIGHTING         |  92|  20| 152|  40| 214| 111|Super Luck  |Adaptability|FULL|Green Shard (common), Red Shard (rare)
 72|TENTACOOL    |WATER/DARK       |  34|  72|  47|  74|  13|  31|Klutz       |Pickup      |BASE|Tunnel Mail (common)
 73|TENTACRUEL   |ICE              |  22|  75| 155|  97|  92| 167|Early Bird  |Insomnia    |FULL|
 74|GEODUDE      |STEEL            |  87|  28|  47|  87|  40|  63|Blaze       | -          |BASE|Focus Sash (common), Yellow Shard (rare)
 75|GRAVELER     |FLYING/WATER     |  20|  75|  76|  67|  61|  52|Rain Dish   |Arena Trap  |BASE|
 76|GOLEM        |DRAGON/GRASS     |  41|  17| 203|  42|  62| 220|Overgrow    | -          |FULL|Amulet Coin (common), Master Ball (rare)
 77|PONYTA       |PSYCHIC          |  20|  13|  87|  80|  40|  14|Snow Cloak  |Poison Point|BASE|
 78|RAPIDASH     |DRAGON           |  74|  73| 122|  54|  73| 117|Illuminate  |Sniper      |FULL|
 79|SLOWPOKE     |ICE              | 130|  15|  18| 151| 157|  25|Drought     | -          |MID |
 80|SLOWBRO      |DARK             |  61| 109| 101|  70| 116|  75|Steadfast   | -          |FULL|Blue Shard (common), Salac Berry (rare)
 81|MAGNEMITE    |FIGHTING         |  82|  35|  28|  62|  80|  61|Frisk       |Quick Feet  |BASE|Salac Berry (common)
 82|MAGNETON     |NORMAL           |  94|  52|  56|  11|  52|  57|Inner Focus |Unaware     |BASE|TM73 (common)
 83|FARFETCH’D   |ELECTRIC/FLYING  | 148|  21|  65|  50| 142|  57|Filter      | -          |FULL|Bubble Mail (rare)
 84|DODUO        |DRAGON/ELECTRIC  |  53|  91|  76|  70|  46|  83|Sand Veil   |Snow Cloak  |MID |
 85|DODRIO       |GHOST/GRASS      | 127|  58|  38| 114| 158|  12|Rough Skin  | -          |FULL|EnergyPowder (common)
 86|SEEL         |DARK/FIGHTING    |  20|  10|  10| 120|  64| 107|Own Tempo   | -          |BASE|Dire Hit (common)
 87|DEWGONG      |PSYCHIC/ROCK     |  76|  92|  42|  53|  97|  68|Water Absorb|Sticky Hold |FULL|
 88|GRIMER       |ROCK             |  41|  32|  47|  54|  54|  46|Cute Charm  |Sand Stream |BASE|
 89|MUK          |GHOST            |  47| 253|  46|  24|  58|  90|Magic Guard | -          |FULL|TinyMushroom (rare)
 90|SHELLDER     |ROCK             |  58|  71|  55|  15|  10|  84|Quick Feet  |Keen Eye    |BASE|TM77 (common), Lustrous Orb (rare)
 91|CLOYSTER     |FLYING           |  41| 106|  84|  39| 101|  78|Tinted Lens |Rain Dish   |FULL|Bluk Berry (common), SilverPowder (rare)
 92|GASTLY       |POISON           |  83|  23|  60|  54|  55| 100|Technician  |Minus       |MID |
 93|HAUNTER      |GHOST/FIRE       | 135| 136|  77| 117|  10|  15|Klutz       | -          |BASE|Belue Berry (common)
 94|GENGAR       |FIRE/POISON      | 122|  40|  81|  59|  74|  71|Natural Cure|No Guard    |FULL|
 95|ONIX         |FIRE             |  27|  18|  75| 106| 101|  48|Storm Drain |Huge Power  |MID |Sticky Barb (common)
 96|DROWZEE      |FIGHTING         |  67|  26|  21|  45|  29|  34|Drizzle     | -          |BASE|Razor Fang (common)
 97|HYPNO        |DARK/PSYCHIC     | 158| 141|  36| 108|  31|  30|Magnet Pull |Sticky Hold |FULL|
 98|KRABBY       |GHOST            |  55| 100|  18|  79|  74|  79|Volt Absorb |Synchronize |MID |
 99|KINGLER      |WATER            |  92|  65|  76|  77| 130|  65|Effect Spore| -          |FULL|
100|VOLTORB      |GROUND           |  62|  71|  66|  63|  65|  48|Sniper      | -          |MID |Draco Plate (common), Focus Band (rare)
101|ELECTRODE    |ELECTRIC/GHOST   |  77|  18|  18|  46| 248| 167|Effect Spore| -          |FULL|TM60 (common)
102|EXEGGCUTE    |NORMAL           |  63|  48|  24|  48|  16|  38|Shadow Tag  |Cute Charm  |BASE|Charti Berry (common)
103|EXEGGUTOR    |ROCK             |  75| 117|  99| 121|  91|  13|Stall       | -          |FULL|Dive Ball (rare)
104|CUBONE       |FIRE/GHOST       |  68| 112| 117|  84|  48|  28|Gluttony    |Unaware     |BASE|
105|MAROWAK      |DRAGON/GROUND    |  95|  38| 166| 202|  19|  39|Swift Swim  |Stall       |FULL|Nomel Berry (rare)
106|HITMONLEE    |ROCK             |  68|  93|  76| 129|  61| 106|Plus        | -          |FULL|
107|HITMONCHAN   |FIGHTING/ELECTRIC|  25|  76|  50| 100| 108| 103|White Smoke | -          |FULL|
108|LICKITUNG    |GHOST/GROUND     |  49|  53|  51|  32|  43|  63|Own Tempo   |Technician  |MID |
109|KOFFING      |FIRE             |  48|  23|  59|  65|  12|  53|Magma Armor |Simple      |BASE|Zoom Lens (common)
110|WEEZING      |ROCK             |  76|  89|  95| 105|  80|  72|Early Bird  |Super Luck  |FULL|Lucky Egg (common), Dome Fossil (rare)
111|RHYHORN      |ROCK/GRASS       |  65|  19|  21|  42|  48|  57|Honey Gather|Illuminate  |BASE|Up-Grade (rare)
112|RHYDON       |WATER/BUG        |  33|  83|  96|  88| 124|  84|Speed Boost | -          |MID |
113|CHANSEY      |ICE/ELECTRIC     |  37|  68|  77|  46|  21|  49|Shell Armor | -          |BASE|Revive (rare)
114|TANGELA      |GHOST/WATER      |  34|  57|  21|  56|  18|  10|Minus       |Gluttony    |BASE|
115|KANGASKHAN   |WATER/FIRE       |  36|  35| 126|  40| 185| 144|Chlorophyll | -          |FULL|Pearl (rare)
116|HORSEA       |ELECTRIC/FLYING  |  25|  49|  21|  19|  13| 123|Swift Swim  | -          |BASE|
117|SEADRA       |PSYCHIC/ICE      |  64|  40|  61|  11|  53|  37|Iron Fist   | -          |BASE|
118|GOLDEEN      |DRAGON           |  85|  53|  16|  17|  53|  84|Storm Drain | -          |BASE|
119|SEAKING      |GHOST            |  78|  33|  48|  20| 196| 171|Snow Cloak  | -          |FULL|Belue Berry (rare)
120|STARYU       |DRAGON           |  60|  10|  53|  81|  31|  26|Storm Drain | -          |BASE|TM49 (rare)
121|STARMIE      |ICE              |  95| 122| 108|  22|  50|  67|Cloud Nine  | -          |FULL|
122|MR. MIME     |FLYING           | 223| 188|  89| 112|  76| 140|Keen Eye    |Unburden    |FULL|Black Belt (common)
123|SCYTHER      |FLYING/FIRE      |  39|  48|  40|  27|  32|  36|Limber      | -          |BASE|Heal Ball (common), Iron (rare)
124|JYNX         |DARK/ROCK        | 116|  13|  69|  77|  65|  62|Water Absorb| -          |FULL|Rock Incense (100%)
125|ELECTABUZZ   |POISON/GHOST     |  29|  36|  50|  54|  30|  24|Normalize   |Speed Boost |BASE|
126|MAGMAR       |GHOST            |  65|  57|  48|  46|  87|  70|Flame Body  |Dry Skin    |BASE|
127|PINSIR       |POISON           |  20| 148| 101|  81| 118|  77|Effect Spore|Shield Dust |FULL|
128|TAUROS       |PSYCHIC/GROUND   |  62|  66|  98|  69|  51|  94|Shield Dust | -          |FULL|TM07 (rare)
129|MAGIKARP     |ELECTRIC         |  64|  21| 122|  36| 120|  44|Leaf Guard  |Suction Cups|MID |
130|GYARADOS     |GRASS/ELECTRIC   | 116| 157| 137|  50|  71|  34|Color Change|Suction Cups|FULL|
131|LAPRAS       |FIRE             | 102|  52| 114|  65| 104|  48|Stench      | -          |FULL|Shiny Stone (common)
132|DITTO        |FLYING           |  81| 101|  77|  82|  88| 127|Battle Armor| -          |FULL|
133|EEVEE        |GROUND           |  46|  96|  51|  34|  54|  53|Hydration   |Anger Point |BASE|Scope Lens (100%)
134|VAPOREON     |NORMAL           |  23| 142|  93|  85|  46| 105|Guts        | -          |FULL|Miracle Seed (common), X Attack (rare)
135|JOLTEON      |DRAGON/BUG       | 116|  83| 126| 147|  75|  30|Liquid Ooze |Slow Start  |FULL|
136|FLAREON      |DRAGON           |  91|  60| 193|  31| 141|  42|Drizzle     | -          |FULL|
137|PORYGON      |POISON           |  54|  36|  57|  40|  22|  29|Sand Veil   | -          |BASE|Shuca Berry (rare)
138|OMANYTE      |PSYCHIC/STEEL    |  20|  84|  13|  73|  53|  21|Klutz       |Plus        |BASE|TM06 (rare)
139|OMASTAR      |DRAGON           |  69|  34|  69|  62|  99| 103|Magnet Pull | -          |FULL|
140|KABUTO       |DARK             |  53|  38|  35|  42|  38|  40|Sand Stream |Minus       |BASE|Charcoal (common)
141|KABUTOPS     |ICE/ROCK         |  39|  11| 121|  38| 132| 100|Compoundeyes|Torrent     |FULL|Earth Plate (rare)
142|AERODACTYL   |GRASS/WATER      |  56|  66|  73|  40| 128| 100|Drought     |Battle Armor|FULL|TM70 (common)
143|SNORLAX      |FIGHTING         |  20|  62| 173| 176|  65|  20|Effect Spore|Filter      |FULL|Draco Plate (100%)
144|ARTICUNO     |NORMAL           |  26| 107|  52| 108|  95|  96|Soundproof  |Solid Rock  |FULL|
145|ZAPDOS       |GROUND/NORMAL    | 111|  30|  41| 106|  25| 124|Ice Body    |Frisk       |FULL|
146|MOLTRES      |ROCK/NORMAL      |  35|  52| 116|  70|  31| 171|Steadfast   |Natural Cure|FULL|TM02 (rare)
147|DRATINI      |GRASS            |  63|  30|  64|  10|  61|  64|Heatproof   | -          |BASE|Occa Berry (common), TM71 (rare)
148|DRAGONAIR    |PSYCHIC/STEEL    |  30|  57|  18|  71|  93|  10|Unburden    | -          |BASE|
149|DRAGONITE    |GROUND           | 194|  18| 122| 164| 106|  32|Iron Fist   |Static      |FULL|Dive Ball (rare)
150|MEWTWO       |BUG              | 116|  55| 110|  29|  11|  93|Anticipation| -          |FULL|
151|MEW          |ELECTRIC/BUG     | 112| 176|  72|  35|  93|  25|Torrent     | -          |FULL|Blue Scarf (100%)
152|CHIKORITA    |GHOST            |  20|  17|  52| 244|  52|  34|Klutz       |Cute Charm  |MID |Custap Berry (common), Razor Fang (rare)
153|BAYLEEF      |FIGHTING         |  52|  70|  12|  59| 101|  10|Solid Rock  | -          |MID |
154|MEGANIUM     |WATER/GROUND     |  94| 106| 111|  96|  51|  98|Cloud Nine  | -          |FULL|
155|CYNDAQUIL    |STEEL/ELECTRIC   |  20|  35|  42|  26|  28|  53|Swift Swim  | -          |BASE|Protector (common)
