Randomizer Version: 4.5.1-HAL
Random Seed: 85825638270474
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> HITMONCHAN     
BELDUM          -> CLEFABLE       
METANG          -> DUSKNOIR       
TURTWIG         -> SLAKING        
GROTLE          -> TURTWIG        
CHIMCHAR        -> SKORUPI        
MONFERNO        -> SEVIPER        
PIPLUP          -> DELIBIRD       
PRINPLUP        -> BASTIODON      
STARLY          -> TOXICROAK      
STARAVIA        -> DUSCLOPS       
BIDOOF          -> AZURILL        
KRICKETOT       -> WARTORTLE      
SHINX           -> URSARING       
LUXIO           -> MISDREAVUS     
BUDEW           -> LOMBRE         
CRANIDOS        -> CHARIZARD      
SHIELDON        -> WALREIN        
BURMY           -> MAGNEZONE and TOGETIC
COMBEE          -> MEDITITE       
BUIZEL          -> FLAAFFY        
CHERUBI         -> HOUNDOOM       
SHELLOS         -> SWALOT         
DRIFLOON        -> PINSIR         
BUNEARY         -> VENUSAUR       
GLAMEOW         -> RHYPERIOR      
CHINGLING       -> NIDORINA       
STUNKY          -> SALAMENCE      
BRONZOR         -> PARASECT       
BONSLY          -> CUBONE         
MIME JR.        -> BARBOACH       
HAPPINY         -> ZUBAT          
GIBLE           -> HEATRAN        
GABITE          -> FORRETRESS     
MUNCHLAX        -> RELICANTH      
RIOLU           -> HO-OH          
HIPPOPOTAS      -> CHINCHOU       
SKORUPI         -> PROBOPASS      
CROAGUNK        -> NOSEPASS       
FINNEON         -> JIRACHI        
MANTYKE         -> BAYLEEF        
SNOVER          -> WEEDLE         

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    | EVO|ITEM
  1|BULBASAUR    |WATER            |  86|  64|  89|  39|  28|  27|Super Luck  |Suction Cups|BASE|
  2|IVYSAUR      |GRASS            |  85|  98|  96|  32|  60|  40|Sturdy      | -          |BASE|
  3|VENUSAUR     |FLYING           |  20|  39|  84| 108| 147|  87|Water Veil  |Rain Dish   |FULL|
  4|CHARMANDER   |ROCK/WATER       |  55|  80|  42|  18| 137|  75|Pure Power  | -          |MID |Metronome (rare)
  5|CHARMELEON   |FIGHTING/POISON  |  77|  10|  84|  77|  53|  40|Flame Body  |Air Lock    |BASE|
  6|CHARIZARD    |ELECTRIC/DRAGON  | 136|  78| 120| 139|  23|  26|Rain Dish   |Natural Cure|FULL|
  7|SQUIRTLE     |GRASS/ELECTRIC   |  50|  51|  51|  83|  69|  59|Poison Heal | -          |BASE|TM40 (common)
  8|WARTORTLE    |ROCK             |  91|  52|  77|  78|  91|  10|Anticipation| -          |MID |
  9|BLASTOISE    |WATER            | 143|  78| 162|  22|  46| 124|Unburden    | -          |FULL|
 10|CATERPIE     |FIGHTING         |  20|  68|  77|  47|  52|  32|Hydration   |Solar Power |BASE|Lemonade (rare)
 11|METAPOD      |DRAGON           |  85|  20|  50|  72| 112| 101|Quick Feet  | -          |BASE|
 12|BUTTERFREE   |GROUND/POISON    | 215|  18|  24| 135|  74|  79|Normalize   | -          |FULL|
 13|WEEDLE       |ELECTRIC/DRAGON  | 105| 112|  42|  32|  42| 116|Download    | -          |MID |Iron Plate (rare)
 14|KAKUNA       |FIRE             |  43|  66|  80|  10|  88|  73|Quick Feet  | -          |BASE|TM56 (rare)
 15|BEEDRILL     |PSYCHIC/ELECTRIC | 110|  28| 102|  69|  81|  59|Pure Power  |Guts        |FULL|
 16|PIDGEY       |ROCK             |  45|  43|  48|  76|  45|  49|Gluttony    | -          |BASE|
 17|PIDGEOTTO    |ROCK/FIRE        |  44|  26|  68|  58|  91|  82|Bad Dreams  | -          |MID |
 18|PIDGEOT      |ICE              | 111|  97|  48|  69|  37|  34|Download    |Motor Drive |FULL|
 19|RATTATA      |FIRE/GRASS       |  20|  33| 137|  65|  20| 143|Limber      |Pressure    |MID |
 20|RATICATE     |FLYING/POISON    | 153| 143|  52|  40| 108|  79|Stench      | -          |FULL|
 21|SPEAROW      |WATER/FLYING     | 179|  30|  75| 100|  83|  45|Natural Cure| -          |MID |Zap Plate (100%)
 22|FEAROW       |WATER            |  84|  60| 126|  79|  56|  28|Torrent     |Quick Feet  |FULL|Belue Berry (rare)
 23|EKANS        |GHOST/POISON     |  67|  44|  85|  57|  45|  53|Torrent     | -          |BASE|
 24|ARBOK        |FLYING           |  43| 162| 130|  34|  34|  92|Truant      |Inner Focus |FULL|TinyMushroom (common)
 25|PIKACHU      |GRASS            |  42|  45|  36|  17|  41|  39|Scrappy     |Hyper Cutter|BASE|Nomel Berry (common)
 26|RAICHU       |WATER            |  42|  67|  69|  99| 107| 105|Swarm       | -          |FULL|Yache Berry (common), Quick Powder (rare)
 27|SANDSHREW    |ROCK/WATER       |  77|  89|  65|  22|  76|  30|Sticky Hold |Slow Start  |BASE|TM44 (rare)
 28|SANDSLASH    |NORMAL/ROCK      |  85| 100|  26| 112|  91| 130|Levitate    | -          |FULL|
 29|NIDORAN♀     |BUG              |  25|  19|  10|  12| 108|  86|Poison Point|Solid Rock  |BASE|Dire Hit (common)
 30|NIDORINA     |GROUND           |  97|  28|  92|  61|  97|  24|Adaptability|Snow Warning|MID |TM15 (common), Safari Ball (rare)
 31|NIDOQUEEN    |PSYCHIC          | 124|  49| 138|  52| 106|  91|Overgrow    | -          |FULL|Wide Lens (common), Super Repel (rare)
 32|NIDORAN♂     |GHOST/BUG        |  67|  69|  55| 113|  36|  85|Water Veil  | -          |MID |Power Belt (rare)
 33|NIDORINO     |FIGHTING         |  20|  89|  10|  63|  79|  59|Swift Swim  | -          |BASE|Mosaic Mail (common)
 34|NIDOKING     |GRASS            |  55| 126| 150|  52| 108|  69|Tangled Feet| -          |FULL|Reaper Cloth (common), Rare Candy (rare)
 35|CLEFAIRY     |DRAGON/PSYCHIC   | 110|  41|  15| 110|  86|  86|Slow Start  | -          |MID |
 36|CLEFABLE     |ICE              |  41|  36| 125|  57| 191| 119|Illuminate  |Swift Swim  |FULL|
 37|VULPIX       |WATER/NORMAL     | 108|  37|  19|  89| 136|  26|Shell Armor | -          |MID |Soda Pop (100%)
 38|NINETALES    |GROUND/NORMAL    |  29|  23| 164| 129| 114|  31|Flash Fire  | -          |FULL|Damp Mulch (100%)
 39|JIGGLYPUFF   |POISON           |  57|  77|  76|  94| 111|  48|Truant      | -          |MID |Magost Berry (common)
 40|WIGGLYTUFF   |GHOST            |  61| 160| 159|  89|  37|  21|Swarm       |Forewarn    |FULL|Max Revive (rare)
 41|ZUBAT        |BUG/GROUND       |  20|  41|  50| 111|  43| 104|Aftermath   |Download    |MID |
 42|GOLBAT       |WATER            | 137|  83|  52|  81|  91| 122|Guts        |Dry Skin    |MID |TM62 (common)
 43|ODDISH       |GROUND/ROCK      |  53|  58|  14|  57|  32|  40|Shadow Tag  | -          |BASE|Destiny Knot (rare)
 44|GLOOM        |GRASS            |  20|  55|  32|  50|  12|  49|Clear Body  | -          |BASE|
 45|VILEPLUME    |FIRE             | 133|  96| 110|  93| 115|  73|Honey Gather| -          |FULL|Toxic Orb (rare)
 46|PARAS        |DRAGON/BUG       |  48|  87|  83|  18|  82|  41|Leaf Guard  |Flame Body  |BASE|
 47|PARASECT     |WATER/PSYCHIC    | 125| 151|  83|  55| 137| 101|Early Bird  |Minus       |FULL|
 48|VENONAT      |PSYCHIC/FIGHTING |  23|  29|  91|  64|  13|  10|Pure Power  |Forewarn    |BASE|
 49|VENOMOTH     |FLYING           | 165|  39|  76| 211|  47|  17|Normalize   | -          |FULL|TM22 (rare)
 50|DIGLETT      |POISON           |  64|  10|  10|  35|  76|  47|Sniper      | -          |BASE|X Sp. Def (100%)
 51|DUGTRIO      |NORMAL/GRASS     | 109| 195|  34| 162| 183|  25|Marvel Scale|Rough Skin  |FULL|
 52|MEOWTH       |GROUND/PSYCHIC   |  47|  11| 118|  38| 127|  97|Motor Drive | -          |MID |TM24 (rare)
 53|PERSIAN      |DARK/NORMAL      |  35| 175|  20| 132| 255|  23|Damp        |Tinted Lens |FULL|
 54|PSYDUCK      |ICE              | 124|  11| 102| 141|  28|  25|Early Bird  | -          |BASE|
 55|GOLDUCK      |ICE/PSYCHIC      |  68| 149|  23| 143|  13| 146|Synchronize |Blaze       |FULL|
 56|MANKEY       |WATER/GROUND     |  67| 103|  10|  89| 114|  95|Filter      | -          |BASE|
 57|PRIMEAPE     |ICE              | 183|  58|  17| 103| 100|  83|Huge Power  |Solid Rock  |FULL|
 58|GROWLITHE    |GHOST            | 112|  72|  33|  10|  98|  16|Sand Stream | -          |BASE|Lagging Tail (100%)
 59|ARCANINE     |ROCK             | 105|  15|  96|  96| 106| 111|Hyper Cutter|Intimidate  |FULL|TM15 (100%)
 60|POLIWAG      |STEEL/NORMAL     |  33|  80|  84| 125|  91|  31|Chlorophyll |Truant      |MID |
 61|POLIWHIRL    |WATER            |  84|  82|  58|  86|  30|  35|Compoundeyes| -          |MID |
 62|POLIWRATH    |GROUND           | 122|  88|  88|  70|  51|  99|Filter      |Swarm       |FULL|
 63|ABRA         |PSYCHIC/ROCK     |  42|  63|  50|  55|  81| 114|Oblivious   |Sturdy      |BASE|Odd Keystone (common), Green Scarf (rare)
 64|KADABRA      |STEEL/FIRE       |  42|  64| 128|  15|  94|  24|Suction Cups| -          |MID |Premier Ball (common), Damp Rock (rare)
 65|ALAKAZAM     |FIRE/BUG         |  29|  86|  85|  82| 112| 120|Filter      | -          |FULL|Lustrous Orb (rare)
 66|MACHOP       |WATER/GROUND     |  55|  62|  78|  30|  99|  52|Thick Fat   |Vital Spirit|BASE|Stone Plate (common)
 67|MACHOKE      |WATER/GROUND     |  79|  54|  52|  78| 105|  26|Honey Gather|Natural Cure|MID |
 68|MACHAMP      |FIGHTING/ROCK    |  65| 103| 104| 152|  27| 107|Anger Point | -          |FULL|Spooky Plate (rare)
 69|BELLSPROUT   |NORMAL/FIGHTING  | 117|  19|  42| 128|  34|  78|Overgrow    | -          |BASE|
 70|WEEPINBELL   |POISON           |  21| 102|  99|  29| 100|  84|Shield Dust | -          |MID |
 71|VICTREEBEL   |ELECTRIC/GROUND  | 146|  51|  55|  85| 128|  50|Sand Stream |Shell Armor |FULL|TM24 (rare)
 72|TENTACOOL    |BUG/ROCK         |  30|  10|  56|  72|  10|  49|Steadfast   | -          |BASE|
 73|TENTACRUEL   |GRASS            |  28| 149| 159|  43|  30| 180|Limber      | -          |FULL|
 74|GEODUDE      |STEEL/ROCK       |  37|  54|  52|  14|  15|  43|White Smoke |Immunity    |BASE|
 75|GRAVELER     |FLYING           |  20|  38|  39|  50|  10|  43|Mold Breaker|Overgrow    |BASE|Sky Plate (common)
 76|GOLEM        |FIGHTING/FLYING  | 176|  93|  83| 235|  29|  56|Snow Cloak  | -          |FULL|Nest Ball (common), TM15 (rare)
 77|PONYTA       |FIRE/GROUND      |  66| 112|  35|  46|  66|  90|Heatproof   | -          |BASE|Silk Scarf (common), Scope Lens (rare)
 78|RAPIDASH     |FIGHTING         |  79| 100|  23|  99| 151| 161|Rain Dish   | -          |FULL|Repel (common)
 79|SLOWPOKE     |ICE              |  63|  77|  67|  48|  37|  93|Guts        |Iron Fist   |MID |
 80|SLOWBRO      |DRAGON/POISON    |  84|  17|  14| 173| 144| 119|Overgrow    | -          |FULL|
 81|MAGNEMITE    |POISON           |  36|  44|  77|  71|  67|  57|Stench      |Solid Rock  |MID |
 82|MAGNETON     |PSYCHIC          |  75| 115|  35|  90|  28|  20|Natural Cure| -          |BASE|
 83|FARFETCH’D   |ICE              |  70|  81|  68|  82|  76| 125|Thick Fat   | -          |FULL|
 84|DODUO        |ICE/BUG          |  61|  68|  48|  44|  65| 111|Plus        |Arena Trap  |BASE|Ether (100%)
 85|DODRIO       |FIRE             |  99|  47|  14| 144| 112| 142|Synchronize |Cute Charm  |FULL|
 86|SEEL         |POISON           |  30|  67|  19|  75|  13| 137|Sand Veil   |Klutz       |BASE|Expert Belt (common), Water Stone (rare)
 87|DEWGONG      |BUG/FIRE         |  73| 172|  36|  42|  31|  45|Sand Veil   | -          |FULL|
 88|GRIMER       |FIGHTING         |  28|  63|  97|  41|  93|  60|Synchronize |Bad Dreams  |BASE|
 89|MUK          |GRASS            |  98|  91|  77|  95|  79|  83|Battle Armor|Heatproof   |FULL|
 90|SHELLDER     |GHOST            |  86|  93|  38|  41|  25|  48|Unburden    |Rain Dish   |BASE|
 91|CLOYSTER     |GHOST/WATER      |  92| 123|  92|  64|  67|  49|Drizzle     | -          |FULL|Passho Berry (common), Power Herb (rare)
 92|GASTLY       |ICE              |  60|  36|  25| 135|  19| 102|Sniper      | -          |MID |Icy Rock (common)
 93|HAUNTER      |ELECTRIC/PSYCHIC |  23|  89| 160|  48| 114|  51|Synchronize |Cute Charm  |BASE|Lansat Berry (common), Macho Brace (rare)
 94|GENGAR       |ELECTRIC/STEEL   |  79| 120| 141| 118|  90|  79|Effect Spore|Shield Dust |FULL|Lava Cookie (common)
 95|ONIX         |BUG              |  20|  71|  49|  16|  14|  88|Pickup      | -          |BASE|Max Potion (rare)
 96|DROWZEE      |POISON           |  76|  63|  32|  78|  66|  32|Run Away    | -          |BASE|TM16 (common), Zinc (rare)
 97|HYPNO        |GROUND           |  20|  15| 133|  77| 126|  21|Color Change| -          |FULL|
 98|KRABBY       |DARK             | 102|  94|  98|  58|  70|  50|Own Tempo   | -          |BASE|Aguav Berry (common), Sticky Barb (rare)
 99|KINGLER      |GHOST            |  84|  59|  93|  94| 113|  95|Sand Stream | -          |FULL|Kelpsy Berry (common)
100|VOLTORB      |DRAGON           |  29|  18|  52|  59| 126| 110|Swarm       | -          |BASE|BrightPowder (common), TM76 (rare)
101|ELECTRODE    |WATER            | 100|  33| 121|  95|  24| 114|Guts        |Hustle      |FULL|
102|EXEGGCUTE    |ROCK/FIGHTING    | 115|  66|  53|  65|  32|  98|Bad Dreams  | -          |BASE|
103|EXEGGUTOR    |GHOST            | 101| 108|  61|  23|  83|  82|Bad Dreams  |Volt Absorb |FULL|
104|CUBONE       |WATER            |  29|  35|  80|  11|  80|  79|Tinted Lens |No Guard    |MID |Focus Band (rare)
105|MAROWAK      |PSYCHIC/STEEL    | 110| 128|  13| 145|  32|  49|Snow Cloak  |Motor Drive |FULL|
106|HITMONLEE    |GROUND/ROCK      | 157|  30|  61| 129|  27|  63|Volt Absorb |Marvel Scale|FULL|Apicot Berry (100%)
107|HITMONCHAN   |FIRE             | 105| 151|  11| 106|  83|  28|Air Lock    |Storm Drain |FULL|Power Belt (common), TM42 (rare)
108|LICKITUNG    |FIRE/PSYCHIC     |  89|  64|  73|  54|  35|  69|Super Luck  |Intimidate  |MID |Poké Doll (common)
109|KOFFING      |GROUND/POISON    |  66|  84|  71|  84|  57|  77|Rough Skin  | -          |MID |Sitrus Berry (100%)
110|WEEZING      |FIGHTING/STEEL   |  92| 143| 112| 151|  15|  68|Honey Gather| -          |FULL|White Flute (common)
111|RHYHORN      |GROUND/POISON    |  37|  11|  62|  67| 109|  75|Color Change|Snow Warning|BASE|TM79 (common), Rare Candy (rare)
112|RHYDON       |FIRE/ICE         | 130|  44|  51|  57|  19|  53|Intimidate  | -          |MID |Shoal Shell (rare)
113|CHANSEY      |STEEL/PSYCHIC    |  76|  16|  32| 103|  24|  24|Keen Eye    |Klutz       |BASE|Gooey Mulch (rare)
114|TANGELA      |DARK/PSYCHIC     |  70|  66|  14|  86|  86|  31|Arena Trap  |Liquid Ooze |BASE|
115|KANGASKHAN   |GROUND/ROCK      |  20| 102|  75|  90|  67| 111|Insomnia    |Cloud Nine  |FULL|Qualot Berry (common)
116|HORSEA       |PSYCHIC          |  27|  51|  31|  14|  83| 106|Water Absorb| -          |MID |
117|SEADRA       |ROCK/GRASS       |  81| 112|  87|  52|  37|  46|Effect Spore|Own Tempo   |MID |Kebia Berry (common), Red Shard (rare)
118|GOLDEEN      |NORMAL/PSYCHIC   |  20| 139|  11|  90|  55|  58|Illuminate  | -          |MID |
119|SEAKING      |FLYING/GRASS     |  21|  52| 255| 133|  78|  94|Compoundeyes| -          |FULL|White Herb (common), Odd Keystone (rare)
120|STARYU       |WATER            |  22|  66|  50|  60|  92| 106|Effect Spore|Speed Boost |MID |
121|STARMIE      |FIGHTING/GHOST   | 101|  88|  59| 105| 121|  30|Water Veil  |Minus       |FULL|Lagging Tail (common)
122|MR. MIME     |DRAGON/FLYING    | 113|  16|  67| 101|  95|  56|Gluttony    | -          |FULL|
123|SCYTHER      |ELECTRIC/WATER   |  67|  80|  43|  15|  48|  50|Soundproof  | -          |BASE|
124|JYNX         |BUG              | 162|  44|  94|  36| 112|  57|Aftermath   | -          |FULL|White Herb (common), TM14 (rare)
125|ELECTABUZZ   |ELECTRIC/FIGHTING| 124| 105|  22|  14|  35|  54|Clear Body  |Honey Gather|MID |
126|MAGMAR       |FIRE/DRAGON      |  20|  75|  85|  52|  71|  37|Damp        | -          |BASE|Big Root (rare)
127|PINSIR       |GROUND           |  20| 112|  85|  91| 129|  89|Overgrow    |Pressure    |FULL|Thick Club (rare)
128|TAUROS       |ICE/GHOST        |  94|  59|  95|  46|  21| 115|Hustle      | -          |FULL|
129|MAGIKARP     |GHOST/FIRE       |  56|  18|  90|  58|  35|  56|Speed Boost |Insomnia    |BASE|
130|GYARADOS     |POISON/FIGHTING  |  35|  40| 123| 122|  11| 116|Swarm       | -          |FULL|Micle Berry (rare)
131|LAPRAS       |ELECTRIC         |  22|  51|  44| 172|  78| 104|Tinted Lens | -          |FULL|Sitrus Berry (common)
132|DITTO        |GRASS            |  20| 126| 201|  80|  24|  44|Anger Point | -          |FULL|TM49 (common), TM67 (rare)
133|EEVEE        |DRAGON           |  49|  47|  73|  10|  51|  70|Clear Body  | -          |BASE|
134|VAPOREON     |WATER            | 109| 101|  33|  34|  59| 146|Run Away    | -          |FULL|
135|JOLTEON      |GHOST/WATER      | 149| 119|  58| 143|  53|  46|Cute Charm  | -          |FULL|
136|FLAREON      |BUG/NORMAL       |  66| 101|  77| 111|  93|  74|Limber      | -          |FULL|Smooth Rock (common)
137|PORYGON      |FIGHTING         |  33|  57|  45|  75|  34|  44|Forewarn    |Oblivious   |BASE|Jaboca Berry (common)
138|OMANYTE      |GROUND           |  83| 118|  14|  60|  12| 134|Immunity    | -          |BASE|
139|OMASTAR      |POISON/FIGHTING  |  30| 100|  14| 127| 193|  96|Sniper      |Aftermath   |FULL|
140|KABUTO       |STEEL            |  31|  13|  42|  46|  70|  78|Solar Power | -          |BASE|
141|KABUTOPS     |DRAGON/STEEL     | 105| 223| 120|  56| 106|  16|Blaze       |Trace       |FULL|
142|AERODACTYL   |BUG/FIGHTING     |  63|  97|  98|  49| 145|  30|Anger Point | -          |FULL|
143|SNORLAX      |PSYCHIC          |  85| 134| 139|  65| 131|  73|Water Veil  |Blaze       |FULL|Chesto Berry (100%)
144|ARTICUNO     |DARK/GRASS       |  20| 117|  98|  16| 130|  90|Sand Stream |Snow Warning|FULL|Babiri Berry (common)
145|ZAPDOS       |GROUND/FLYING    | 110| 118| 109|  98|  83|  20|Tinted Lens | -          |FULL|Blue Scarf (rare)
146|MOLTRES      |ELECTRIC/BUG     |  67| 123|  29|  75|  14|  84|Magma Armor | -          |FULL|Full Heal (common), Power Herb (rare)
147|DRATINI      |FIGHTING/DRAGON  |  52|  35|  80|  45|  69|  26|Static      |Unburden    |BASE|
148|DRAGONAIR    |DRAGON           |  21|  93|  43|  44|  87| 132|Illuminate  |Rough Skin  |BASE|Expert Belt (common)
149|DRAGONITE    |GROUND           | 125|  45|  10| 118|  76| 149|Shadow Tag  |Vital Spirit|FULL|Heal Powder (rare)
150|MEWTWO       |PSYCHIC          |  69|  27| 109|  33| 124| 124|White Smoke | -          |FULL|Yellow Flute (common), Luxury Ball (rare)
151|MEW          |ICE              |  21| 142|  91|  61| 153| 118|Marvel Scale| -          |FULL|TM55 (100%)
152|CHIKORITA    |DARK/GROUND      |  37|  92|  93|  46|  15|  67|Intimidate  | -          |MID |TM36 (rare)
153|BAYLEEF      |POISON           |  73|  32|  34|  56|  86|  73|Natural Cure|Illuminate  |MID |Zoom Lens (100%)
154|MEGANIUM     |GRASS/ELECTRIC   | 161|  15| 103| 102| 161|  53|Aftermath   | -          |FULL|TM50 (rare)
155|CYNDAQUIL    |GRASS/GROUND     |  24|  15|  70|  61| 101|  31|Speed Boost | -          |BASE|Wise Glasses (common)
156|QUILAVA      |GROUND/NORMAL    |  35|  90| 109|  41|  61|  24|Trace       | -          |BASE|
157|TYPHLOSION   |STEEL            |  32|  79| 142|  51| 109| 131|Download    | -          |FULL|
